id_encuestado,RangoEdad,SegmentoEdad,Genero,Ocupacion
43,18 - 24 años,Joven Adulto,Femenino,Ama de casa
44,45 - 54 años,Adulto Mayor,Masculino,Ama de casa
45,25 - 34 años,Adulto Joven,Femenino,Estudiante
46,45 - 54 años,Adulto Mayor,Masculino,Estudiante
47,35 - 44 años,Adulto,Masculino,Comerciante
48,35 - 44 años,Adulto,Masculino,Estudiante
49,45 - 54 años,Adulto Mayor,Femenino,Empleado privado
50,Menos de 18 años,Juvenil,Prefiero no indicarlo,Empleado privado
51,18 - 24 años,Joven Adulto,Femenino,Empresario
52,35 - 44 años,Adulto,Masculino,Empleado privado
53,25 - 34 años,Adulto Joven,Masculino,Empleado privado
54,18 - 24 años,Joven Adulto,Femenino,Profesional independiente
55,25 - 34 años,Adulto Joven,Femenino,Comerciante
56,18 - 24 años,Joven Adulto,Masculino,Estudiante
57,55 años o más,Senior,Femenino,Comerciante
58,25 - 34 años,Adulto Joven,Masculino,Empresario
59,18 - 24 años,Joven Adulto,Femenino,Empresario
60,45 - 54 años,Adulto Mayor,Masculino,Empleado privado
61,55 años o más,Senior,Femenino,Estudiante
62,55 años o más,Senior,Masculino,Estudiante
63,18 - 24 años,Joven Adulto,Femenino,Profesional independiente
64,25 - 34 años,Adulto Joven,Masculino,Profesional independiente
65,Menos de 18 años,Juvenil,Femenino,Jubilado
66,25 - 34 años,Adulto Joven,Femenino,Estudiante
67,25 - 34 años,Adulto Joven,Femenino,Empleado privado
68,Menos de 18 años,Juvenil,Femenino,Ama de casa
69,18 - 24 años,Joven Adulto,Masculino,Empresario
70,45 - 54 años,Adulto Mayor,Masculino,Estudiante
71,45 - 54 años,Adulto Mayor,Femenino,Profesional independiente
72,45 - 54 años,Adulto Mayor,Femenino,No especificado
73,18 - 24 años,Joven Adulto,Femenino,Estudiante
74,18 - 24 años,Joven Adulto,Femenino,Empleado público
75,25 - 34 años,Adulto Joven,Masculino,Profesional independiente
76,25 - 34 años,Adulto Joven,Femenino,Empleado privado
77,25 - 34 años,Adulto Joven,Masculino,Empleado privado
78,45 - 54 años,Adulto Mayor,Femenino,Jubilado
79,25 - 34 años,Adulto Joven,Femenino,Ama de casa
80,25 - 34 años,Adulto Joven,Masculino,Empleado privado
81,25 - 34 años,Adulto Joven,Masculino,Jubilado
82,45 - 54 años,Adulto Mayor,Masculino,Empleado privado
83,25 - 34 años,Adulto Joven,Femenino,Estudiante
84,25 - 34 años,Adulto Joven,Femenino,Ama de casa
85,25 - 34 años,Adulto Joven,Femenino,Empleado privado
86,Menos de 18 años,Juvenil,Femenino,Estudiante
87,55 años o más,Senior,Femenino,Comerciante
88,35 - 44 años,Adulto,Masculino,Estudiante
89,Menos de 18 años,Juvenil,Femenino,Empresario
90,55 años o más,Senior,Femenino,Ama de casa
91,18 - 24 años,Joven Adulto,Femenino,Comerciante
92,18 - 24 años,Joven Adulto,Femenino,Estudiante
93,45 - 54 años,Adulto Mayor,Masculino,Comerciante
94,35 - 44 años,Adulto,Femenino,Empleado privado
95,25 - 34 años,Adulto Joven,Masculino,Ama de casa
96,45 - 54 años,Adulto Mayor,Masculino,Empleado público
97,25 - 34 años,Adulto Joven,Masculino,Jubilado
98,35 - 44 años,Adulto,Femenino,Estudiante
99,25 - 34 años,Adulto Joven,Femenino,Empleado privado
100,55 años o más,Senior,Masculino,Empleado privado
101,18 - 24 años,Joven Adulto,Masculino,Empleado privado
102,35 - 44 años,Adulto,Femenino,Empleado privado
103,55 años o más,Senior,Femenino,Empresario
104,25 - 34 años,Adulto Joven,Masculino,Estudiante
105,35 - 44 años,Adulto,Masculino,Ama de casa
106,35 - 44 años,Adulto,Masculino,Empleado público
107,35 - 44 años,Adulto,Femenino,Empleado privado
108,18 - 24 años,Joven Adulto,Femenino,Empleado privado
109,18 - 24 años,Joven Adulto,Femenino,Empleado privado
110,25 - 34 años,Adulto Joven,Femenino,Estudiante
111,Menos de 18 años,Juvenil,Masculino,Profesional independiente
112,25 - 34 años,Adulto Joven,Masculino,Estudiante
113,45 - 54 años,Adulto Mayor,Femenino,Profesional independiente
114,18 - 24 años,Joven Adulto,Masculino,Empleado privado
115,35 - 44 años,Adulto,Femenino,Empleado privado
116,18 - 24 años,Joven Adulto,Femenino,Empleado privado
117,25 - 34 años,Adulto Joven,Femenino,Empleado público
118,Menos de 18 años,Juvenil,Femenino,Empleado privado
119,18 - 24 años,Joven Adulto,Femenino,Empleado privado
120,18 - 24 años,Joven Adulto,Masculino,Empleado privado
121,18 - 24 años,Joven Adulto,Femenino,Estudiante
122,25 - 34 años,Adulto Joven,Masculino,Ama de casa
123,25 - 34 años,Adulto Joven,Femenino,Estudiante
124,Menos de 18 años,Juvenil,Prefiero no indicarlo,Empleado privado
125,45 - 54 años,Adulto Mayor,Masculino,Estudiante
126,25 - 34 años,Adulto Joven,Masculino,Empleado privado
127,25 - 34 años,Adulto Joven,Masculino,Profesional independiente
128,35 - 44 años,Adulto,Femenino,Ama de casa
129,45 - 54 años,Adulto Mayor,Femenino,Empleado privado
130,18 - 24 años,Joven Adulto,Femenino,Comerciante
131,25 - 34 años,Adulto Joven,Femenino,Empleado privado
132,18 - 24 años,Joven Adulto,Masculino,Otro
133,25 - 34 años,Adulto Joven,Masculino,Empleado privado
134,18 - 24 años,Joven Adulto,Masculino,Empleado privado
135,35 - 44 años,Adulto,Prefiero no indicarlo,Profesional independiente
136,18 - 24 años,Joven Adulto,Masculino,Profesional independiente
137,45 - 54 años,Adulto Mayor,Masculino,Estudiante
138,45 - 54 años,Adulto Mayor,Masculino,Estudiante
139,25 - 34 años,Adulto Joven,Masculino,Estudiante
140,45 - 54 años,Adulto Mayor,Masculino,Empleado privado
141,25 - 34 años,Adulto Joven,Masculino,Comerciante
142,45 - 54 años,Adulto Mayor,Masculino,Empleado privado
143,25 - 34 años,Adulto Joven,Masculino,Profesional independiente
144,35 - 44 años,Adulto,Masculino,Estudiante
145,25 - 34 años,Adulto Joven,Masculino,Empleado privado
146,25 - 34 años,Adulto Joven,Femenino,Otro
147,55 años o más,Senior,Femenino,Estudiante
148,55 años o más,Senior,Femenino,Estudiante
149,35 - 44 años,Adulto,Masculino,Comerciante
150,55 años o más,Senior,Femenino,Comerciante
151,25 - 34 años,Adulto Joven,Masculino,Empleado privado
152,25 - 34 años,Adulto Joven,Masculino,Empresario
153,35 - 44 años,Adulto,Masculino,Empleado privado
154,25 - 34 años,Adulto Joven,Masculino,Empleado privado
155,35 - 44 años,Adulto,Masculino,Empleado privado
156,25 - 34 años,Adulto Joven,Femenino,Empleado privado
157,25 - 34 años,Adulto Joven,Prefiero no indicarlo,Otro
158,25 - 34 años,Adulto Joven,Masculino,Empleado privado
159,35 - 44 años,Adulto,Femenino,Estudiante
160,35 - 44 años,Adulto,Femenino,Empleado privado
161,35 - 44 años,Adulto,Masculino,Estudiante
162,25 - 34 años,Adulto Joven,Masculino,Empleado privado
163,Menos de 18 años,Juvenil,Femenino,Profesional independiente
164,Menos de 18 años,Juvenil,Masculino,Estudiante
165,25 - 34 años,Adulto Joven,Femenino,Estudiante
166,55 años o más,Senior,Masculino,Empleado privado
167,18 - 24 años,Joven Adulto,Femenino,Empleado privado
168,18 - 24 años,Joven Adulto,Masculino,Empleado privado
169,18 - 24 años,Joven Adulto,Femenino,Empleado privado
170,35 - 44 años,Adulto,Masculino,Profesional independiente
171,25 - 34 años,Adulto Joven,Femenino,Profesional independiente
172,45 - 54 años,Adulto Mayor,Masculino,Estudiante
173,Menos de 18 años,Juvenil,Femenino,Empleado privado
174,18 - 24 años,Joven Adulto,Femenino,Empresario
175,Menos de 18 años,Juvenil,Masculino,Profesional independiente
176,35 - 44 años,Adulto,Femenino,Empleado privado
177,35 - 44 años,Adulto,Masculino,Empleado privado
178,45 - 54 años,Adulto Mayor,Femenino,Comerciante
179,25 - 34 años,Adulto Joven,Femenino,Profesional independiente
180,25 - 34 años,Adulto Joven,Masculino,Empleado privado
181,18 - 24 años,Joven Adulto,Masculino,Profesional independiente
182,35 - 44 años,Adulto,Femenino,Estudiante
183,18 - 24 años,Joven Adulto,Masculino,Comerciante
184,25 - 34 años,Adulto Joven,Femenino,Estudiante
185,Menos de 18 años,Juvenil,Prefiero no indicarlo,Estudiante
186,45 - 54 años,Adulto Mayor,Femenino,Empleado privado
187,55 años o más,Senior,Masculino,Estudiante
188,25 - 34 años,Adulto Joven,Masculino,Comerciante
189,18 - 24 años,Joven Adulto,Femenino,Comerciante
190,45 - 54 años,Adulto Mayor,Femenino,Empleado privado
191,18 - 24 años,Joven Adulto,Masculino,Profesional independiente
192,25 - 34 años,Adulto Joven,Masculino,Empleado privado
193,25 - 34 años,Adulto Joven,Femenino,Comerciante
194,18 - 24 años,Joven Adulto,Masculino,Comerciante
195,25 - 34 años,Adulto Joven,Femenino,Estudiante
196,18 - 24 años,Joven Adulto,Prefiero no indicarlo,Empleado privado
197,45 - 54 años,Adulto Mayor,Femenino,Estudiante
198,45 - 54 años,Adulto Mayor,Masculino,Comerciante
199,45 - 54 años,Adulto Mayor,Masculino,Empleado privado
200,18 - 24 años,Joven Adulto,Femenino,Empleado privado
201,18 - 24 años,Joven Adulto,Femenino,Profesional independiente
202,25 - 34 años,Adulto Joven,Femenino,Ama de casa
203,18 - 24 años,Joven Adulto,Femenino,Estudiante
204,35 - 44 años,Adulto,Masculino,Empresario
205,Menos de 18 años,Juvenil,Masculino,Estudiante
206,55 años o más,Senior,Femenino,Empleado privado
207,25 - 34 años,Adulto Joven,Femenino,Empleado privado
208,35 - 44 años,Adulto,Femenino,Otro
209,25 - 34 años,Adulto Joven,Femenino,Ama de casa
210,45 - 54 años,Adulto Mayor,Femenino,Empleado privado
211,55 años o más,Senior,Masculino,Empresario
212,35 - 44 años,Adulto,Femenino,Estudiante
213,25 - 34 años,Adulto Joven,Masculino,Empleado privado
214,25 - 34 años,Adulto Joven,Masculino,Estudiante
215,45 - 54 años,Adulto Mayor,Masculino,Estudiante
216,18 - 24 años,Joven Adulto,Femenino,Comerciante
217,45 - 54 años,Adulto Mayor,Femenino,Empleado privado
218,45 - 54 años,Adulto Mayor,Masculino,Estudiante
219,35 - 44 años,Adulto,Femenino,Empleado privado
220,18 - 24 años,Joven Adulto,Femenino,Estudiante
221,18 - 24 años,Joven Adulto,Femenino,Empresario
222,55 años o más,Senior,Masculino,Estudiante
223,Menos de 18 años,Juvenil,Femenino,Empleado privado
224,35 - 44 años,Adulto,Masculino,Empresario
225,25 - 34 años,Adulto Joven,Masculino,Estudiante
226,35 - 44 años,Adulto,Femenino,Empleado público
227,35 - 44 años,Adulto,Masculino,Otro
228,35 - 44 años,Adulto,Femenino,Empleado público
229,45 - 54 años,Adulto Mayor,Femenino,Profesional independiente
230,Menos de 18 años,Juvenil,Masculino,Ama de casa
231,25 - 34 años,Adulto Joven,Femenino,Empleado privado
232,Menos de 18 años,Juvenil,Prefiero no indicarlo,Empleado privado
233,18 - 24 años,Joven Adulto,Masculino,Estudiante
234,25 - 34 años,Adulto Joven,Masculino,Empleado privado
235,25 - 34 años,Adulto Joven,Prefiero no indicarlo,Profesional independiente
236,18 - 24 años,Joven Adulto,Masculino,Comerciante
237,45 - 54 años,Adulto Mayor,Masculino,Profesional independiente
238,25 - 34 años,Adulto Joven,Masculino,Ama de casa
239,35 - 44 años,Adulto,Masculino,Profesional independiente
240,18 - 24 años,Joven Adulto,Femenino,Comerciante
241,25 - 34 años,Adulto Joven,Femenino,Empleado privado
242,18 - 24 años,Joven Adulto,Masculino,Empleado público
243,25 - 34 años,Adulto Joven,Femenino,Estudiante
244,25 - 34 años,Adulto Joven,Femenino,Empleado privado
245,45 - 54 años,Adulto Mayor,Prefiero no indicarlo,No especificado
246,35 - 44 años,Adulto,Femenino,Comerciante
247,25 - 34 años,Adulto Joven,Femenino,Empleado público
248,25 - 34 años,Adulto Joven,Femenino,Empleado privado
249,45 - 54 años,Adulto Mayor,Masculino,Empleado privado
250,45 - 54 años,Adulto Mayor,Masculino,Profesional independiente
251,25 - 34 años,Adulto Joven,Femenino,Estudiante
252,55 años o más,Senior,Femenino,Empresario
253,25 - 34 años,Adulto Joven,Femenino,Comerciante
254,25 - 34 años,Adulto Joven,Masculino,Comerciante
255,55 años o más,Senior,Masculino,Empleado privado
256,45 - 54 años,Adulto Mayor,Masculino,Empleado privado
257,25 - 34 años,Adulto Joven,Femenino,Empleado privado
258,45 - 54 años,Adulto Mayor,Femenino,Profesional independiente
259,25 - 34 años,Adulto Joven,Femenino,Empleado privado
260,45 - 54 años,Adulto Mayor,Masculino,Empleado privado
261,55 años o más,Senior,Masculino,Estudiante
262,35 - 44 años,Adulto,Masculino,Empleado privado
263,35 - 44 años,Adulto,Masculino,Estudiante
264,25 - 34 años,Adulto Joven,Masculino,Jubilado
265,35 - 44 años,Adulto,Masculino,Profesional independiente
266,45 - 54 años,Adulto Mayor,Masculino,Empleado público
267,35 - 44 años,Adulto,Masculino,Empleado privado
268,25 - 34 años,Adulto Joven,Femenino,Empleado privado
269,25 - 34 años,Adulto Joven,Masculino,Ama de casa
270,18 - 24 años,Joven Adulto,Femenino,Empleado público
271,35 - 44 años,Adulto,Femenino,Jubilado
272,25 - 34 años,Adulto Joven,Femenino,Empleado privado
273,55 años o más,Senior,Femenino,Empresario
274,45 - 54 años,Adulto Mayor,Femenino,Profesional independiente
275,55 años o más,Senior,Femenino,Jubilado
276,18 - 24 años,Joven Adulto,Femenino,Empleado privado
277,35 - 44 años,Adulto,Masculino,Empleado privado
278,18 - 24 años,Joven Adulto,Femenino,Estudiante
279,Menos de 18 años,Juvenil,Femenino,Empresario
280,35 - 44 años,Adulto,Masculino,Estudiante
281,45 - 54 años,Adulto Mayor,Masculino,Otro
282,18 - 24 años,Joven Adulto,Femenino,Empleado privado
283,Menos de 18 años,Juvenil,Masculino,Otro
284,45 - 54 años,Adulto Mayor,Femenino,Empleado privado
285,Menos de 18 años,Juvenil,Femenino,Comerciante
286,Menos de 18 años,Juvenil,Femenino,Empresario
287,Menos de 18 años,Juvenil,Masculino,Estudiante
288,18 - 24 años,Joven Adulto,Masculino,Jubilado
289,35 - 44 años,Adulto,Masculino,Ama de casa
290,Menos de 18 años,Juvenil,Masculino,Ama de casa
291,35 - 44 años,Adulto,Masculino,Empresario
1595,55 años o más,Senior,Femenino,Empleado privado
293,35 - 44 años,Adulto,Masculino,Estudiante
294,35 - 44 años,Adulto,Prefiero no indicarlo,Comerciante
295,Menos de 18 años,Juvenil,Femenino,Empleado público
296,35 - 44 años,Adulto,Femenino,Empleado público
297,18 - 24 años,Joven Adulto,Femenino,Ama de casa
298,18 - 24 años,Joven Adulto,Masculino,Empleado privado
299,25 - 34 años,Adulto Joven,Masculino,Empleado privado
300,55 años o más,Senior,Masculino,Ama de casa
301,45 - 54 años,Adulto Mayor,Femenino,Profesional independiente
302,45 - 54 años,Adulto Mayor,Femenino,Empleado privado
303,25 - 34 años,Adulto Joven,Femenino,Empleado privado
304,45 - 54 años,Adulto Mayor,Prefiero no indicarlo,Empleado privado
305,18 - 24 años,Joven Adulto,Masculino,Empleado público
306,18 - 24 años,Joven Adulto,Femenino,Empleado público
307,35 - 44 años,Adulto,Masculino,Empleado privado
308,Menos de 18 años,Juvenil,Masculino,Jubilado
309,18 - 24 años,Joven Adulto,Femenino,Empleado privado
310,55 años o más,Senior,Femenino,Empleado privado
311,Menos de 18 años,Juvenil,Femenino,Empleado privado
312,Menos de 18 años,Juvenil,Femenino,Comerciante
313,18 - 24 años,Joven Adulto,Femenino,Empleado privado
314,25 - 34 años,Adulto Joven,Masculino,Ama de casa
315,35 - 44 años,Adulto,Femenino,Comerciante
316,45 - 54 años,Adulto Mayor,Masculino,Empleado público
317,25 - 34 años,Adulto Joven,Masculino,Ama de casa
318,18 - 24 años,Joven Adulto,Femenino,Empleado privado
319,25 - 34 años,Adulto Joven,Femenino,Empleado privado
320,25 - 34 años,Adulto Joven,Masculino,Ama de casa
321,25 - 34 años,Adulto Joven,Masculino,Empleado privado
322,Menos de 18 años,Juvenil,Masculino,Empleado público
323,35 - 44 años,Adulto,Femenino,Comerciante
324,45 - 54 años,Adulto Mayor,Femenino,No especificado
325,25 - 34 años,Adulto Joven,Masculino,Jubilado
326,25 - 34 años,Adulto Joven,Masculino,Profesional independiente
327,25 - 34 años,Adulto Joven,Masculino,Empleado privado
328,Menos de 18 años,Juvenil,Masculino,Estudiante
329,35 - 44 años,Adulto,Masculino,Empleado privado
330,45 - 54 años,Adulto Mayor,Femenino,Empresario
331,35 - 44 años,Adulto,Masculino,Ama de casa
332,25 - 34 años,Adulto Joven,Femenino,Profesional independiente
333,18 - 24 años,Joven Adulto,Masculino,Empleado público
334,45 - 54 años,Adulto Mayor,Femenino,Comerciante
335,35 - 44 años,Adulto,Masculino,Empleado privado
336,Menos de 18 años,Juvenil,Femenino,Profesional independiente
337,55 años o más,Senior,Masculino,Empleado público
338,25 - 34 años,Adulto Joven,Femenino,Empresario
339,25 - 34 años,Adulto Joven,Masculino,Comerciante
340,25 - 34 años,Adulto Joven,Masculino,Empleado público
341,25 - 34 años,Adulto Joven,Masculino,Empleado privado
342,35 - 44 años,Adulto,Masculino,Profesional independiente
343,45 - 54 años,Adulto Mayor,Masculino,Empleado privado
344,25 - 34 años,Adulto Joven,Femenino,Profesional independiente
345,18 - 24 años,Joven Adulto,Femenino,Comerciante
346,45 - 54 años,Adulto Mayor,Femenino,Profesional independiente
347,18 - 24 años,Joven Adulto,Femenino,Empleado privado
348,18 - 24 años,Joven Adulto,Masculino,Empleado privado
1960,18 - 24 años,Joven Adulto,Femenino,Empleado privado
350,35 - 44 años,Adulto,Femenino,Empleado privado
351,18 - 24 años,Joven Adulto,Femenino,Empleado privado
352,25 - 34 años,Adulto Joven,Masculino,Empleado privado
353,18 - 24 años,Joven Adulto,Masculino,Profesional independiente
354,18 - 24 años,Joven Adulto,Femenino,Ama de casa
355,35 - 44 años,Adulto,Masculino,Otro
356,25 - 34 años,Adulto Joven,Masculino,Estudiante
357,18 - 24 años,Joven Adulto,Femenino,Empleado privado
358,25 - 34 años,Adulto Joven,Femenino,Estudiante
359,25 - 34 años,Adulto Joven,Femenino,Otro
360,55 años o más,Senior,Prefiero no indicarlo,Estudiante
361,45 - 54 años,Adulto Mayor,Femenino,Empleado público
362,Menos de 18 años,Juvenil,Masculino,Ama de casa
363,18 - 24 años,Joven Adulto,Femenino,Empleado privado
364,18 - 24 años,Joven Adulto,Masculino,Empleado privado
365,18 - 24 años,Joven Adulto,Masculino,Empresario
366,25 - 34 años,Adulto Joven,Femenino,Ama de casa
367,35 - 44 años,Adulto,Masculino,Empleado privado
368,35 - 44 años,Adulto,Masculino,Empleado privado
369,25 - 34 años,Adulto Joven,Femenino,Ama de casa
370,18 - 24 años,Joven Adulto,Femenino,Empleado privado
371,45 - 54 años,Adulto Mayor,Masculino,Empleado privado
372,35 - 44 años,Adulto,Masculino,Empleado privado
373,25 - 34 años,Adulto Joven,Femenino,Comerciante
374,55 años o más,Senior,Femenino,Profesional independiente
375,18 - 24 años,Joven Adulto,Masculino,Profesional independiente
376,Menos de 18 años,Juvenil,Masculino,Comerciante
377,18 - 24 años,Joven Adulto,Masculino,Empresario
378,55 años o más,Senior,Femenino,Empresario
379,25 - 34 años,Adulto Joven,Femenino,Estudiante
380,18 - 24 años,Joven Adulto,Femenino,Ama de casa
381,55 años o más,Senior,Femenino,Empleado privado
382,25 - 34 años,Adulto Joven,Masculino,Comerciante
383,35 - 44 años,Adulto,Femenino,Empleado privado
384,25 - 34 años,Adulto Joven,Masculino,Comerciante
385,35 - 44 años,Adulto,Masculino,Empleado privado
386,18 - 24 años,Joven Adulto,Masculino,Empleado privado
387,25 - 34 años,Adulto Joven,Masculino,Estudiante
388,25 - 34 años,Adulto Joven,Femenino,Empleado público
389,Menos de 18 años,Juvenil,Masculino,Empresario
390,Menos de 18 años,Juvenil,Femenino,Estudiante
391,35 - 44 años,Adulto,Femenino,Empleado privado
392,45 - 54 años,Adulto Mayor,Masculino,Profesional independiente
393,18 - 24 años,Joven Adulto,Masculino,Empleado privado
394,18 - 24 años,Joven Adulto,Masculino,Empresario
395,25 - 34 años,Adulto Joven,Femenino,Ama de casa
396,18 - 24 años,Joven Adulto,Femenino,Estudiante
397,55 años o más,Senior,Femenino,Empleado privado
398,35 - 44 años,Adulto,Femenino,Comerciante
399,Menos de 18 años,Juvenil,Masculino,Profesional independiente
400,18 - 24 años,Joven Adulto,Masculino,Empleado privado
401,18 - 24 años,Joven Adulto,Masculino,Estudiante
402,55 años o más,Senior,Femenino,Empleado privado
403,25 - 34 años,Adulto Joven,Masculino,Otro
404,Menos de 18 años,Juvenil,Femenino,Comerciante
405,45 - 54 años,Adulto Mayor,Femenino,Empresario
406,25 - 34 años,Adulto Joven,Masculino,Empleado privado
407,25 - 34 años,Adulto Joven,Prefiero no indicarlo,Empresario
408,25 - 34 años,Adulto Joven,Femenino,Profesional independiente
409,25 - 34 años,Adulto Joven,Femenino,Comerciante
410,18 - 24 años,Joven Adulto,Masculino,Empleado privado
411,18 - 24 años,Joven Adulto,Masculino,Empleado privado
412,25 - 34 años,Adulto Joven,Femenino,Empleado privado
413,45 - 54 años,Adulto Mayor,Femenino,Empleado privado
414,55 años o más,Senior,Femenino,Empleado público
415,18 - 24 años,Joven Adulto,Femenino,Empleado privado
416,25 - 34 años,Adulto Joven,Masculino,Empleado público
417,45 - 54 años,Adulto Mayor,Masculino,Estudiante
418,55 años o más,Senior,Femenino,Empleado privado
420,25 - 34 años,Adulto Joven,Femenino,Empleado privado
421,18 - 24 años,Joven Adulto,Femenino,Empleado privado
422,18 - 24 años,Joven Adulto,Masculino,Profesional independiente
423,25 - 34 años,Adulto Joven,Masculino,Comerciante
424,25 - 34 años,Adulto Joven,Femenino,Ama de casa
425,45 - 54 años,Adulto Mayor,Masculino,Comerciante
426,25 - 34 años,Adulto Joven,Femenino,Ama de casa
427,25 - 34 años,Adulto Joven,Masculino,Empleado privado
428,Menos de 18 años,Juvenil,Masculino,Otro
429,25 - 34 años,Adulto Joven,Femenino,Estudiante
430,35 - 44 años,Adulto,Femenino,No especificado
431,45 - 54 años,Adulto Mayor,Masculino,Otro
432,18 - 24 años,Joven Adulto,Masculino,Comerciante
433,55 años o más,Senior,Femenino,Empleado público
434,18 - 24 años,Joven Adulto,Femenino,Empleado público
435,25 - 34 años,Adulto Joven,Masculino,Empleado privado
436,55 años o más,Senior,Femenino,Empleado privado
437,55 años o más,Senior,Masculino,Comerciante
438,55 años o más,Senior,Masculino,Empleado privado
439,18 - 24 años,Joven Adulto,Femenino,Empresario
440,18 - 24 años,Joven Adulto,Masculino,Empleado privado
441,25 - 34 años,Adulto Joven,Masculino,Ama de casa
442,25 - 34 años,Adulto Joven,Femenino,Empleado privado
443,25 - 34 años,Adulto Joven,Masculino,Estudiante
444,25 - 34 años,Adulto Joven,Femenino,Empleado privado
445,25 - 34 años,Adulto Joven,Femenino,Empleado privado
446,45 - 54 años,Adulto Mayor,Femenino,Ama de casa
447,25 - 34 años,Adulto Joven,Masculino,Empleado público
448,25 - 34 años,Adulto Joven,Femenino,Empleado privado
449,25 - 34 años,Adulto Joven,Femenino,Empleado privado
1193,25 - 34 años,Adulto Joven,Masculino,Empleado privado
451,18 - 24 años,Joven Adulto,Masculino,No especificado
452,18 - 24 años,Joven Adulto,Masculino,Comerciante
453,25 - 34 años,Adulto Joven,Masculino,Comerciante
454,45 - 54 años,Adulto Mayor,Femenino,Empleado privado
455,25 - 34 años,Adulto Joven,Femenino,Estudiante
456,25 - 34 años,Adulto Joven,Femenino,Empleado público
457,55 años o más,Senior,Masculino,Jubilado
458,25 - 34 años,Adulto Joven,Femenino,Estudiante
459,35 - 44 años,Adulto,Masculino,Empleado público
460,25 - 34 años,Adulto Joven,Femenino,Otro
461,Menos de 18 años,Juvenil,Femenino,Estudiante
462,25 - 34 años,Adulto Joven,Femenino,Ama de casa
463,25 - 34 años,Adulto Joven,Masculino,Comerciante
1049,25 - 34 años,Adulto Joven,Masculino,Empleado privado
465,18 - 24 años,Joven Adulto,Femenino,Comerciante
466,35 - 44 años,Adulto,Femenino,Empleado privado
467,18 - 24 años,Joven Adulto,Femenino,Empleado privado
468,45 - 54 años,Adulto Mayor,Masculino,Otro
469,25 - 34 años,Adulto Joven,Femenino,Otro
470,18 - 24 años,Joven Adulto,Masculino,Ama de casa
471,25 - 34 años,Adulto Joven,Femenino,Estudiante
472,18 - 24 años,Joven Adulto,Masculino,Estudiante
473,25 - 34 años,Adulto Joven,Femenino,Comerciante
2439,18 - 24 años,Joven Adulto,Femenino,Estudiante
475,Menos de 18 años,Juvenil,Masculino,Empleado privado
476,25 - 34 años,Adulto Joven,Masculino,Estudiante
477,35 - 44 años,Adulto,Femenino,Profesional independiente
478,35 - 44 años,Adulto,Femenino,Estudiante
479,35 - 44 años,Adulto,Masculino,Profesional independiente
480,18 - 24 años,Joven Adulto,Femenino,Empleado público
481,25 - 34 años,Adulto Joven,Masculino,Empresario
482,25 - 34 años,Adulto Joven,Masculino,Empleado privado
483,25 - 34 años,Adulto Joven,Femenino,Empleado privado
484,55 años o más,Senior,Femenino,Empleado privado
485,45 - 54 años,Adulto Mayor,Femenino,Empleado privado
