id_campania,TipoPublicidadAtractiva,PromocionPreferida,CampaniaMasProbableCompra,CompraTarjetasColeccionables
96,Un jugador famoso,2x1,Edición Francia,Sí
97,Una selección nacional,Tarjetas coleccionables,Edición Mundial FIFA 2026,Sí
98,Premios y sorteos,Tarjetas coleccionables,Edición Francia,No
99,Humor,2x1,Edición Brasil,No
100,Premios y sorteos,Tarjetas coleccionables,Edición con jugadores famosos,Sí
101,Humor,2x1,Edición con jugadores famosos,No
102,Un jugador famoso,2x1,Edición Argentina,No
103,Premios y sorteos,Tarjetas coleccionables,Edición Inglaterra,Sí
104,Un jugador famoso,Sorteo de camisetas,Edición con jugadores famosos,No
105,Humor,Sorteo de viajes,Edición con jugadores famosos,No
106,Un jugador famoso,Sorteo de viajes,Edición Argentina,No
107,Historias de aficionados,Descuento directo,Edición Argentina,No
108,Un jugador famoso,Descuento directo,Edición España,Sí
109,Una selección nacional,Producto gratis,Edición Argentina,No
110,Historias de aficionados,Sorteo de camisetas,Edición con tarjetas coleccionables,Sí
111,Una selección nacional,2x1,Edición Brasil,Sí
112,Un jugador famoso,Producto gratis,Edición Brasil,Sí
113,Una selección nacional,Descuento directo,Edición Mundial FIFA 2026,Sí
114,Un jugador famoso,Producto gratis,Edición con tarjetas coleccionables,No
115,Un jugador famoso,Sorteo de viajes,Edición con tarjetas coleccionables,No
116,Humor,2x1,Edición Francia,No
117,Un jugador famoso,Descuento directo,Edición Mundial FIFA 2026,Sí
118,Una selección nacional,2x1,Edición Inglaterra,Sí
119,Humor,2x1,Edición España,No
120,Historias de aficionados,2x1,Edición Argentina,Sí
121,Premios y sorteos,Sorteo de camisetas,Edición España,Sí
122,Un jugador famoso,Sorteo de viajes,Edición Inglaterra,Sí
123,Una selección nacional,Sorteo de viajes,Edición España,Sí
124,Humor,Sorteo de camisetas,Edición Brasil,No
125,Humor,Sorteo de balones,Edición con jugadores famosos,No
126,Un jugador famoso,Producto gratis,Edición Mundial FIFA 2026,Sí
127,Un jugador famoso,Tarjetas coleccionables,Edición con tarjetas coleccionables,Sí
128,Una selección nacional,2x1,Edición con jugadores famosos,Sí
129,Una selección nacional,Descuento directo,Edición con jugadores famosos,Sí
130,Una selección nacional,Tarjetas coleccionables,Edición Inglaterra,Sí
131,Un jugador famoso,Tarjetas coleccionables,Edición Brasil,No
132,Premios y sorteos,Descuento directo,Edición con jugadores famosos,Sí
133,Premios y sorteos,Descuento directo,Edición con tarjetas coleccionables,No
134,Historias de aficionados,Sorteo de viajes,Edición Inglaterra,Sí
135,Historias de aficionados,2x1,Edición con jugadores famosos,No
136,Humor,Descuento directo,Edición España,Sí
137,Humor,Descuento directo,Edición España,No
138,Un jugador famoso,Producto gratis,Edición España,Sí
139,Un jugador famoso,Sorteo de camisetas,Edición Argentina,Sí
140,Historias de aficionados,Sorteo de viajes,Edición Brasil,Sí
141,Premios y sorteos,Descuento directo,Edición Argentina,No
142,Una selección nacional,Producto gratis,Edición España,Sí
143,Un jugador famoso,Tarjetas coleccionables,Edición con tarjetas coleccionables,Sí
144,Historias de aficionados,2x1,Edición Brasil,No
145,Historias de aficionados,Descuento directo,Edición Argentina,No
146,Historias de aficionados,Descuento directo,Edición Brasil,No
147,Historias de aficionados,2x1,Edición con jugadores famosos,Sí
148,Un jugador famoso,Tarjetas coleccionables,Edición España,No
149,Un jugador famoso,Descuento directo,Edición Francia,No
150,Un jugador famoso,Sorteo de balones,Edición Brasil,No
151,Humor,Descuento directo,Edición Mundial FIFA 2026,Sí
152,Un jugador famoso,Sorteo de camisetas,Edición Mundial FIFA 2026,Sí
153,Un jugador famoso,2x1,Edición con jugadores famosos,Sí
154,Premios y sorteos,2x1,Edición España,No
155,Premios y sorteos,Descuento directo,Edición Inglaterra,Sí
156,Una selección nacional,Descuento directo,Edición Inglaterra,No
157,Premios y sorteos,2x1,Edición Brasil,Sí
158,Un jugador famoso,Tarjetas coleccionables,Edición España,No
159,Una selección nacional,Descuento directo,Edición Francia,Sí
160,Un jugador famoso,Sorteo de camisetas,Edición Brasil,Sí
161,Un jugador famoso,Descuento directo,Edición España,Sí
162,Premios y sorteos,Descuento directo,Edición Mundial FIFA 2026,No
163,Una selección nacional,Descuento directo,Edición Mundial FIFA 2026,No
164,Una selección nacional,Sorteo de viajes,Edición con jugadores famosos,Sí
165,Historias de aficionados,Tarjetas coleccionables,Edición Brasil,Sí
166,Un jugador famoso,Producto gratis,Edición Brasil,No
167,Un jugador famoso,Tarjetas coleccionables,Edición con jugadores famosos,No
168,Humor,Sorteo de balones,Edición con tarjetas coleccionables,No
169,Una selección nacional,Producto gratis,Edición con jugadores famosos,No
170,Un jugador famoso,2x1,Edición Argentina,No
171,Un jugador famoso,Tarjetas coleccionables,Edición con tarjetas coleccionables,Sí
172,Premios y sorteos,Producto gratis,Edición con jugadores famosos,No
173,Premios y sorteos,Tarjetas coleccionables,Edición Inglaterra,Sí
174,Premios y sorteos,Descuento directo,Edición con tarjetas coleccionables,Sí
175,Premios y sorteos,Sorteo de camisetas,Edición Mundial FIFA 2026,Sí
176,Un jugador famoso,Sorteo de camisetas,Edición Brasil,Sí
177,Humor,Producto gratis,Edición Mundial FIFA 2026,Sí
178,Un jugador famoso,Descuento directo,Edición Brasil,Sí
179,Un jugador famoso,2x1,Edición con jugadores famosos,Sí
180,Premios y sorteos,Descuento directo,Edición con jugadores famosos,Sí
181,Historias de aficionados,Sorteo de camisetas,Edición Mundial FIFA 2026,Sí
182,Una selección nacional,Sorteo de balones,Edición con jugadores famosos,Sí
183,Una selección nacional,Descuento directo,Edición con jugadores famosos,Sí
184,Un jugador famoso,Tarjetas coleccionables,Edición con jugadores famosos,Sí
185,Premios y sorteos,Sorteo de camisetas,Edición Argentina,Sí
186,Un jugador famoso,2x1,Edición con tarjetas coleccionables,No
187,Humor,Descuento directo,Edición Mundial FIFA 2026,Sí
188,Humor,2x1,Edición Mundial FIFA 2026,Sí
189,Una selección nacional,Sorteo de camisetas,Edición Brasil,No
190,Premios y sorteos,Descuento directo,Edición con jugadores famosos,No
191,Un jugador famoso,2x1,Edición Brasil,Sí
192,Historias de aficionados,Sorteo de camisetas,Edición Argentina,No
193,Premios y sorteos,2x1,Edición con tarjetas coleccionables,Sí
194,Una selección nacional,Producto gratis,Edición Mundial FIFA 2026,No
195,Humor,Producto gratis,Edición Brasil,Sí
196,Un jugador famoso,2x1,Edición Brasil,Sí
197,Humor,2x1,Edición con jugadores famosos,Sí
198,Un jugador famoso,2x1,Edición con jugadores famosos,No
199,Una selección nacional,Descuento directo,Edición Francia,Sí
200,Historias de aficionados,2x1,Edición Francia,Sí
201,Premios y sorteos,Descuento directo,Edición España,Sí
202,Una selección nacional,Descuento directo,Edición con jugadores famosos,No
203,Humor,2x1,Edición Francia,No
204,Un jugador famoso,Sorteo de balones,Edición con jugadores famosos,Sí
205,Un jugador famoso,Descuento directo,Edición Mundial FIFA 2026,No
206,Un jugador famoso,2x1,Edición Francia,No
207,Premios y sorteos,Tarjetas coleccionables,Edición Francia,Sí
208,Premios y sorteos,2x1,Edición Argentina,Sí
209,Premios y sorteos,Descuento directo,Edición con jugadores famosos,No
210,Premios y sorteos,Producto gratis,Edición Mundial FIFA 2026,No
211,Humor,Tarjetas coleccionables,Edición Argentina,Sí
212,Premios y sorteos,2x1,Edición Brasil,Sí
213,Una selección nacional,2x1,Edición con jugadores famosos,No
214,Humor,Sorteo de camisetas,Edición Inglaterra,No
215,Un jugador famoso,Descuento directo,Edición Inglaterra,No
216,Premios y sorteos,Descuento directo,Edición Brasil,Sí
217,Premios y sorteos,Tarjetas coleccionables,Edición Argentina,No
218,Una selección nacional,Descuento directo,Edición Mundial FIFA 2026,No
219,Una selección nacional,Tarjetas coleccionables,Edición España,Sí
220,Un jugador famoso,Tarjetas coleccionables,Edición con jugadores famosos,No
221,Una selección nacional,Tarjetas coleccionables,Edición con jugadores famosos,No
222,Una selección nacional,Sorteo de viajes,Edición Francia,No
223,Premios y sorteos,Tarjetas coleccionables,Edición Brasil,Sí
224,Un jugador famoso,Descuento directo,Edición con tarjetas coleccionables,Sí
225,Premios y sorteos,2x1,Edición Inglaterra,No
226,Historias de aficionados,Producto gratis,Edición Argentina,Sí
227,Una selección nacional,Descuento directo,Edición con tarjetas coleccionables,Sí
228,Un jugador famoso,Sorteo de viajes,Edición España,Sí
229,Humor,2x1,Edición con tarjetas coleccionables,No
230,Una selección nacional,Descuento directo,Edición con jugadores famosos,No
231,Una selección nacional,2x1,Edición Inglaterra,Sí
232,Una selección nacional,Descuento directo,Edición Argentina,Sí
233,Humor,2x1,Edición Brasil,No
234,Humor,2x1,Edición Mundial FIFA 2026,Sí
235,Premios y sorteos,Tarjetas coleccionables,Edición con tarjetas coleccionables,No
236,Premios y sorteos,Sorteo de camisetas,Edición con jugadores famosos,Sí
237,Un jugador famoso,Producto gratis,Edición Francia,Sí
238,Una selección nacional,2x1,Edición Brasil,No
239,Premios y sorteos,Producto gratis,Edición Argentina,Sí
240,Humor,2x1,Edición con tarjetas coleccionables,Sí
241,Premios y sorteos,Tarjetas coleccionables,Edición Francia,No
242,Un jugador famoso,Producto gratis,Edición Argentina,No
243,Una selección nacional,Sorteo de viajes,Edición España,Sí
244,Un jugador famoso,Descuento directo,Edición España,No
245,Premios y sorteos,Descuento directo,Edición con tarjetas coleccionables,Sí
246,Un jugador famoso,Producto gratis,Edición Mundial FIFA 2026,No
247,Una selección nacional,Sorteo de balones,Edición Mundial FIFA 2026,No
248,Historias de aficionados,Descuento directo,Edición Mundial FIFA 2026,No
249,Un jugador famoso,2x1,Edición Inglaterra,No
250,Un jugador famoso,Tarjetas coleccionables,Edición Francia,No
251,Un jugador famoso,Descuento directo,Edición Mundial FIFA 2026,No
252,Humor,2x1,Edición Francia,No
253,Un jugador famoso,Tarjetas coleccionables,Edición España,Sí
254,Premios y sorteos,Descuento directo,Edición Brasil,No
255,Premios y sorteos,2x1,Edición con tarjetas coleccionables,No
256,Historias de aficionados,Descuento directo,Edición con tarjetas coleccionables,No
257,Premios y sorteos,Producto gratis,Edición Inglaterra,Sí
258,Un jugador famoso,Sorteo de camisetas,Edición con tarjetas coleccionables,Sí
259,Historias de aficionados,Tarjetas coleccionables,Edición Brasil,Sí
260,Una selección nacional,Sorteo de viajes,Edición con jugadores famosos,No
261,Un jugador famoso,Tarjetas coleccionables,Edición con jugadores famosos,Sí
262,Un jugador famoso,Descuento directo,Edición con jugadores famosos,No
263,Un jugador famoso,Producto gratis,Edición Mundial FIFA 2026,Sí
264,Premios y sorteos,Tarjetas coleccionables,Edición con tarjetas coleccionables,Sí
265,Premios y sorteos,Descuento directo,Edición Brasil,Sí
266,Un jugador famoso,Sorteo de viajes,Edición Argentina,No
267,Premios y sorteos,Sorteo de camisetas,Edición Mundial FIFA 2026,Sí
268,Una selección nacional,Sorteo de viajes,Edición con jugadores famosos,Sí
269,Premios y sorteos,Descuento directo,Edición con tarjetas coleccionables,No
270,Un jugador famoso,Sorteo de viajes,Edición con jugadores famosos,Sí
271,Un jugador famoso,Descuento directo,Edición Argentina,No
272,Un jugador famoso,Producto gratis,Edición Mundial FIFA 2026,Sí
273,Humor,Descuento directo,Edición Argentina,Sí
274,Un jugador famoso,Descuento directo,Edición Argentina,No
275,Un jugador famoso,Sorteo de camisetas,Edición Francia,No
276,Humor,2x1,Edición Inglaterra,No
277,Una selección nacional,Descuento directo,Edición Francia,No
278,Un jugador famoso,Tarjetas coleccionables,Edición Argentina,Sí
279,Un jugador famoso,2x1,Edición con jugadores famosos,Sí
280,Un jugador famoso,Tarjetas coleccionables,Edición Inglaterra,Sí
281,Un jugador famoso,Sorteo de camisetas,Edición Inglaterra,Sí
282,Historias de aficionados,Descuento directo,Edición con jugadores famosos,No
283,Una selección nacional,Tarjetas coleccionables,Edición Francia,Sí
284,Historias de aficionados,Sorteo de balones,Edición con tarjetas coleccionables,No
285,Un jugador famoso,Descuento directo,Edición España,Sí
286,Una selección nacional,Sorteo de camisetas,Edición con jugadores famosos,No
287,Historias de aficionados,2x1,Edición España,Sí
288,Un jugador famoso,Descuento directo,Edición con jugadores famosos,Sí
289,Una selección nacional,Sorteo de camisetas,Edición con jugadores famosos,Sí
290,Un jugador famoso,Sorteo de viajes,Edición Argentina,No
291,Historias de aficionados,Sorteo de camisetas,Edición Mundial FIFA 2026,Sí
1595,Una selección nacional,Sorteo de viajes,Edición Mundial FIFA 2026,Sí
293,Un jugador famoso,Producto gratis,Edición con tarjetas coleccionables,Sí
294,Humor,Tarjetas coleccionables,Edición con tarjetas coleccionables,No
295,Un jugador famoso,2x1,Edición Francia,Sí
296,Humor,Descuento directo,Edición España,Sí
297,Premios y sorteos,Descuento directo,Edición Argentina,Sí
298,Un jugador famoso,2x1,Edición con tarjetas coleccionables,Sí
299,Historias de aficionados,Tarjetas coleccionables,Edición Argentina,No
300,Premios y sorteos,Tarjetas coleccionables,Edición con jugadores famosos,Sí
301,Un jugador famoso,Sorteo de balones,Edición Brasil,No
302,Premios y sorteos,Sorteo de viajes,Edición Argentina,No
303,Un jugador famoso,Tarjetas coleccionables,Edición Brasil,Sí
304,Una selección nacional,2x1,Edición Mundial FIFA 2026,Sí
305,Historias de aficionados,Sorteo de viajes,Edición con tarjetas coleccionables,Sí
306,Historias de aficionados,Tarjetas coleccionables,Edición Brasil,No
307,Un jugador famoso,2x1,Edición Brasil,Sí
308,Humor,Tarjetas coleccionables,Edición con tarjetas coleccionables,Sí
309,Un jugador famoso,Descuento directo,Edición Inglaterra,Sí
310,Premios y sorteos,Tarjetas coleccionables,Edición Argentina,Sí
311,Una selección nacional,2x1,Edición España,Sí
312,Premios y sorteos,2x1,Edición Argentina,Sí
313,Humor,Producto gratis,Edición con tarjetas coleccionables,Sí
314,Un jugador famoso,Tarjetas coleccionables,Edición Brasil,Sí
315,Un jugador famoso,Descuento directo,Edición con jugadores famosos,Sí
316,Premios y sorteos,2x1,Edición con tarjetas coleccionables,No
317,Una selección nacional,2x1,Edición con tarjetas coleccionables,Sí
318,Una selección nacional,Descuento directo,Edición con tarjetas coleccionables,No
319,Historias de aficionados,Sorteo de camisetas,Edición Brasil,Sí
320,Un jugador famoso,Descuento directo,Edición Mundial FIFA 2026,No
321,Historias de aficionados,Tarjetas coleccionables,Edición con tarjetas coleccionables,No
322,Historias de aficionados,Tarjetas coleccionables,Edición Brasil,Sí
323,Un jugador famoso,Producto gratis,Edición España,No
324,Un jugador famoso,Descuento directo,Edición con jugadores famosos,Sí
325,Premios y sorteos,Tarjetas coleccionables,Edición España,Sí
326,Premios y sorteos,Producto gratis,Edición Brasil,Sí
327,Un jugador famoso,Sorteo de camisetas,Edición con tarjetas coleccionables,Sí
328,Premios y sorteos,Tarjetas coleccionables,Edición Mundial FIFA 2026,No
329,Historias de aficionados,Sorteo de balones,Edición Mundial FIFA 2026,Sí
330,Premios y sorteos,Tarjetas coleccionables,Edición Brasil,Sí
331,Historias de aficionados,Descuento directo,Edición Brasil,Sí
332,Un jugador famoso,2x1,Edición con jugadores famosos,Sí
333,Historias de aficionados,Sorteo de camisetas,Edición Mundial FIFA 2026,No
334,Historias de aficionados,Descuento directo,Edición Brasil,No
335,Un jugador famoso,Tarjetas coleccionables,Edición con tarjetas coleccionables,No
336,Una selección nacional,Sorteo de balones,Edición Mundial FIFA 2026,No
337,Un jugador famoso,Descuento directo,Edición Mundial FIFA 2026,Sí
338,Historias de aficionados,Sorteo de balones,Edición Inglaterra,No
339,Una selección nacional,Producto gratis,Edición con jugadores famosos,Sí
340,Un jugador famoso,2x1,Edición Argentina,Sí
341,Una selección nacional,2x1,Edición Francia,No
342,Una selección nacional,Sorteo de camisetas,Edición con jugadores famosos,Sí
343,Una selección nacional,Descuento directo,Edición con tarjetas coleccionables,Sí
344,Historias de aficionados,Tarjetas coleccionables,Edición Brasil,No
345,Una selección nacional,Tarjetas coleccionables,Edición Argentina,Sí
346,Historias de aficionados,2x1,Edición Brasil,Sí
347,Una selección nacional,Descuento directo,Edición Argentina,Sí
348,Una selección nacional,Tarjetas coleccionables,Edición Brasil,Sí
1960,Una selección nacional,2x1,Edición Mundial FIFA 2026,No
350,Humor,Producto gratis,Edición Brasil,Sí
351,Una selección nacional,2x1,Edición Mundial FIFA 2026,No
352,Un jugador famoso,Producto gratis,Edición Mundial FIFA 2026,No
353,Un jugador famoso,Descuento directo,Edición con jugadores famosos,Sí
354,Historias de aficionados,2x1,Edición con jugadores famosos,No
355,Historias de aficionados,Tarjetas coleccionables,Edición Francia,Sí
356,Premios y sorteos,2x1,Edición España,No
357,Un jugador famoso,2x1,Edición con tarjetas coleccionables,No
358,Una selección nacional,Tarjetas coleccionables,Edición Inglaterra,No
359,Un jugador famoso,2x1,Edición Mundial FIFA 2026,Sí
360,Historias de aficionados,Tarjetas coleccionables,Edición Mundial FIFA 2026,No
361,Un jugador famoso,Sorteo de camisetas,Edición con jugadores famosos,No
362,Premios y sorteos,Tarjetas coleccionables,Edición España,No
363,Premios y sorteos,2x1,Edición España,Sí
364,Un jugador famoso,Sorteo de camisetas,Edición Mundial FIFA 2026,Sí
365,Un jugador famoso,Producto gratis,Edición con jugadores famosos,Sí
366,Una selección nacional,Descuento directo,Edición España,Sí
367,Un jugador famoso,Descuento directo,Edición Brasil,Sí
368,Historias de aficionados,Descuento directo,Edición con tarjetas coleccionables,Sí
369,Una selección nacional,Sorteo de camisetas,Edición Francia,Sí
370,Una selección nacional,Descuento directo,Edición Mundial FIFA 2026,Sí
371,Un jugador famoso,Descuento directo,Edición Argentina,Sí
372,Una selección nacional,Sorteo de viajes,Edición Argentina,No
373,Una selección nacional,Sorteo de viajes,Edición con jugadores famosos,Sí
374,Premios y sorteos,Sorteo de camisetas,Edición con jugadores famosos,No
375,Premios y sorteos,Sorteo de viajes,Edición Mundial FIFA 2026,No
376,Un jugador famoso,Producto gratis,Edición Argentina,No
377,Historias de aficionados,Tarjetas coleccionables,Edición Mundial FIFA 2026,No
378,Una selección nacional,Sorteo de viajes,Edición con tarjetas coleccionables,No
379,Una selección nacional,Producto gratis,Edición Inglaterra,Sí
380,Un jugador famoso,Sorteo de balones,Edición España,Sí
381,Una selección nacional,Descuento directo,Edición Argentina,Sí
382,Una selección nacional,Tarjetas coleccionables,Edición Francia,Sí
383,Historias de aficionados,Tarjetas coleccionables,Edición Francia,No
384,Una selección nacional,Sorteo de balones,Edición Brasil,No
385,Premios y sorteos,Tarjetas coleccionables,Edición España,No
386,Un jugador famoso,Producto gratis,Edición Argentina,Sí
387,Un jugador famoso,Descuento directo,Edición Francia,Sí
388,Una selección nacional,Tarjetas coleccionables,Edición con tarjetas coleccionables,Sí
389,Un jugador famoso,Sorteo de balones,Edición Mundial FIFA 2026,No
390,Historias de aficionados,Producto gratis,Edición Mundial FIFA 2026,Sí
391,Una selección nacional,Sorteo de balones,Edición Argentina,Sí
392,Premios y sorteos,Descuento directo,Edición Argentina,Sí
393,Premios y sorteos,Tarjetas coleccionables,Edición Francia,Sí
394,Humor,Descuento directo,Edición Brasil,Sí
395,Humor,Sorteo de viajes,Edición Brasil,Sí
396,Premios y sorteos,Descuento directo,Edición Mundial FIFA 2026,No
397,Historias de aficionados,Descuento directo,Edición Mundial FIFA 2026,Sí
398,Una selección nacional,Sorteo de balones,Edición con tarjetas coleccionables,No
399,Un jugador famoso,2x1,Edición España,Sí
400,Historias de aficionados,Descuento directo,Edición con tarjetas coleccionables,No
401,Una selección nacional,Descuento directo,Edición Brasil,No
402,Un jugador famoso,Tarjetas coleccionables,Edición Argentina,Sí
403,Humor,Producto gratis,Edición con jugadores famosos,Sí
404,Una selección nacional,Producto gratis,Edición con tarjetas coleccionables,Sí
405,Historias de aficionados,Tarjetas coleccionables,Edición Inglaterra,Sí
406,Un jugador famoso,Descuento directo,Edición con tarjetas coleccionables,No
407,Una selección nacional,Producto gratis,Edición Argentina,No
408,Una selección nacional,Sorteo de balones,Edición con tarjetas coleccionables,Sí
409,Historias de aficionados,Tarjetas coleccionables,Edición Francia,Sí
410,Una selección nacional,2x1,Edición España,Sí
411,Una selección nacional,2x1,Edición Mundial FIFA 2026,Sí
412,Humor,Descuento directo,Edición Francia,Sí
413,Una selección nacional,Producto gratis,Edición con tarjetas coleccionables,Sí
414,Historias de aficionados,Sorteo de balones,Edición Argentina,Sí
415,Una selección nacional,Descuento directo,Edición con jugadores famosos,No
416,Historias de aficionados,Descuento directo,Edición Argentina,Sí
417,Una selección nacional,Tarjetas coleccionables,Edición con tarjetas coleccionables,Sí
418,Una selección nacional,Descuento directo,Edición Argentina,No
420,Una selección nacional,Descuento directo,Edición Argentina,Sí
421,Un jugador famoso,2x1,Edición Mundial FIFA 2026,No
422,Un jugador famoso,2x1,Edición Argentina,No
423,Una selección nacional,Producto gratis,Edición con jugadores famosos,No
424,Premios y sorteos,Tarjetas coleccionables,Edición Francia,Sí
425,Una selección nacional,Tarjetas coleccionables,Edición España,Sí
426,Un jugador famoso,Descuento directo,Edición Mundial FIFA 2026,No
427,Un jugador famoso,Sorteo de camisetas,Edición Mundial FIFA 2026,Sí
428,Premios y sorteos,Tarjetas coleccionables,Edición con tarjetas coleccionables,Sí
429,Humor,Sorteo de camisetas,Edición Brasil,No
430,Humor,Sorteo de viajes,Edición Mundial FIFA 2026,No
431,Premios y sorteos,Sorteo de viajes,Edición España,Sí
432,Una selección nacional,Descuento directo,Edición con jugadores famosos,Sí
433,Un jugador famoso,Tarjetas coleccionables,Edición con tarjetas coleccionables,Sí
434,Historias de aficionados,2x1,Edición Brasil,Sí
435,Premios y sorteos,2x1,Edición Francia,Sí
436,Una selección nacional,2x1,Edición Mundial FIFA 2026,Sí
