id_encuesta,GastoSnacksPartido,CantidadSnacks,AltaIntencionCompra,CategoriaPrecio,FrecuenciaConsumoSnacks,SeleccionApoya,JugadoresInfluyentes,PlaneaVerMundial2026,ConQuienVePartidos,id_encuestado,id_ubicacion,id_tiempo,id_campania
17,Más de Q150,3,1,Moderado,Todos los días,México,Rodri; Alphonso Davies; Vinícius Júnior,Sí,Familia,17,17,17,17
18,Q101 - Q150,2,1,Premium,1 a 2 veces por semana,Brasil,Neymar Jr.; Vinícius Júnior; Lionel Messi,Sí,Amigos,18,18,18,18
19,Q25 - Q50,2,1,Super Premium,1 a 2 veces por semana,Australia,Julián Álvarez; Harry Kane,Sí,Familia,19,19,19,19
20,Q51 - Q100,3,1,Moderado,Varias veces al mes,Estados Unidos,Jude Bellingham,Sí,Amigos,20,20,20,20
21,Q25 - Q50,3,1,Moderado,1 a 2 veces por semana,Brasil,Lionel Messi; Rodri; Harry Kane,Sí,Amigos,21,21,21,21
22,Q51 - Q100,2,1,Premium,Todos los días,Irán,Lionel Messi; Cristiano Ronaldo; Neymar Jr.,Sí,Familia,22,22,22,22
23,Q25 - Q50,1,1,Moderado,Todos los días,Estados Unidos,Vinícius Júnior; Lionel Messi; Christian Pulisic,Sí,Otro,23,23,23,23
24,Q101 - Q150,2,0,Premium,Todos los días,Brasil,Neymar Jr.; Vinícius Júnior,Sí,Amigos,24,24,24,24
25,Q51 - Q100,2,1,Moderado,3 a 5 veces por semana,Portugal,Lionel Messi,Sí,Solo,25,25,25,25
26,Q25 - Q50,2,1,Premium,1 a 2 veces por semana,España,Lamine Yamal; Kylian Mbappé,Sí,Familia,26,26,26,26
27,Menos de Q25,1,1,Premium,Todos los días,Brasil,Kylian Mbappé,No,Familia,27,27,27,27
28,Menos de Q25,1,0,Accesible,1 a 2 veces por semana,México,Lionel Messi; Jude Bellingham,Sí,Amigos,28,28,28,28
29,Q25 - Q50,1,0,Moderado,3 a 5 veces por semana,España,Ninguno,Sí,Amigos,29,29,29,29
30,Q51 - Q100,2,1,Moderado,Todos los días,Brasil,Ninguno; Lionel Messi; Jude Bellingham,Sí,Amigos,30,30,30,30
31,Q25 - Q50,2,0,Moderado,Todos los días,Corea del Sur,Rodri,Sí,Amigos,31,31,31,31
32,Q51 - Q100,3,1,Premium,1 a 2 veces por semana,ESTADOS UNIDOS,Cristiano Ronaldo; Vinícius Júnior; Alphonso Davies,Sí,Familia,32,32,32,32
33,Q51 - Q100,3,0,Moderado,Todos los días,FRANCIA,Harry Kane; Rodri,Sí,Amigos,33,33,33,33
34,Q101 - Q150,1,0,Moderado,Varias veces al mes,Noruega,Lionel Messi,Sí,Familia,34,34,34,34
35,Menos de Q25,1,1,Moderado,Todos los días,Brasil,Christian Pulisic,Sí,Familia,35,35,35,35
36,Q51 - Q100,2,0,Accesible,Todos los días,Argentina,Lamine Yamal,Sí,Familia,36,36,36,36
37,Q51 - Q100,3,1,Premium,3 a 5 veces por semana,Portugal,Federico Valverde,Sí,Solo,37,37,37,37
38,Q51 - Q100,2,1,Moderado,Rara vez,España,Lionel Messi; Jude Bellingham; Vinícius Júnior,Sí,Otro,38,38,38,38
39,Más de Q150,3,0,Accesible,Todos los días,Argentina,Ninguno,Sí,Compañeros de trabajo,39,39,39,39
40,Menos de Q25,3,1,Super Premium,3 a 5 veces por semana,Argentina,Jude Bellingham,Sí,Familia,40,40,40,40
41,Q101 - Q150,1,1,Accesible,3 a 5 veces por semana,Francia,Cristiano Ronaldo; Vinícius Júnior; Rodri,Sí,Otro,41,41,41,41
42,Q51 - Q100,2,1,Premium,1 a 2 veces por semana,Argentina,Neymar Jr.; Julián Álvarez,Sí,Amigos,42,42,42,42
43,Menos de Q25,1,1,Super Premium,Todos los días,Estados Unidos,Lamine Yamal; Kylian Mbappé,Sí,Amigos,43,43,43,43
44,Q51 - Q100,1,0,Moderado,1 a 2 veces por semana,Francia,Neymar Jr.; Jude Bellingham,Sí,Amigos,44,44,44,44
45,Q25 - Q50,3,0,Accesible,Varias veces al mes,Brasil,Vinícius Júnior,Sí,Familia,45,45,45,45
46,Q25 - Q50,3,0,Super Premium,3 a 5 veces por semana,Portugal,Rodri; Jude Bellingham,Sí,Solo,46,46,46,46
47,Q51 - Q100,2,1,Accesible,1 a 2 veces por semana,Argentina,Ninguno; Lionel Messi; Vinícius Júnior,No,Compañeros de trabajo,47,47,47,47
48,Q51 - Q100,1,1,Super Premium,Todos los días,ARGENTINA,Lionel Messi,Sí,Amigos,48,48,48,48
49,Q25 - Q50,1,1,Super Premium,Todos los días,Argentina,Neymar Jr.,Sí,Familia,49,49,49,49
50,Q51 - Q100,2,0,Accesible,Todos los días,Francia,Cristiano Ronaldo,Sí,Amigos,50,50,50,50
51,Q101 - Q150,3,0,Moderado,1 a 2 veces por semana,Estados Unidos,Lionel Messi; Christian Pulisic; Neymar Jr.,Sí,Otro,51,51,51,51
52,Menos de Q25,1,1,Premium,Rara vez,Portugal,Lionel Messi; Cristiano Ronaldo,Sí,Familia,52,52,52,52
53,Q51 - Q100,3,1,Economico,Varias veces al mes,Argentina,Neymar Jr.; Jude Bellingham; Lamine Yamal,Sí,Amigos,53,53,53,53
54,Más de Q150,2,0,Moderado,1 a 2 veces por semana,Francia,Kylian Mbappé,Sí,Familia,54,54,54,54
55,Q51 - Q100,1,1,Premium,Rara vez,México,Federico Valverde; Vinícius Júnior; Ninguno,Sí,Compañeros de trabajo,55,55,55,55
56,Q51 - Q100,1,1,Accesible,3 a 5 veces por semana,Brasil,Lionel Messi; Neymar Jr.; Vinícius Júnior,Sí,Familia,56,56,56,56
57,Q51 - Q100,3,0,Accesible,Varias veces al mes,Estados Unidos,Neymar Jr.; Federico Valverde,Sí,Familia,57,57,57,57
58,Q25 - Q50,3,1,Moderado,Varias veces al mes,Uruguay,Neymar Jr.; Harry Kane; Lamine Yamal,Sí,Familia,58,58,58,58
59,Q25 - Q50,1,1,Economico,1 a 2 veces por semana,Inglaterra,Kylian Mbappé; Neymar Jr.,Sí,Familia,59,59,59,59
60,Menos de Q25,1,0,Moderado,1 a 2 veces por semana,Argentina,Federico Valverde,Sí,Amigos,60,60,60,60
61,Q101 - Q150,1,0,Moderado,3 a 5 veces por semana,Brasil,Julián Álvarez; Neymar Jr.,Sí,Familia,61,61,61,61
62,Q51 - Q100,1,0,Premium,3 a 5 veces por semana,Inglaterra,Rodri; Cristiano Ronaldo,Sí,Amigos,62,62,62,62
63,Q25 - Q50,2,1,Moderado,Todos los días,Brasil,Julián Álvarez; Cristiano Ronaldo,Sí,Familia,63,63,63,63
64,Menos de Q25,3,1,Economico,3 a 5 veces por semana,Austria,Lionel Messi; Jude Bellingham; Cristiano Ronaldo,Sí,Compañeros de trabajo,64,64,64,64
65,Q101 - Q150,2,0,Accesible,Varias veces al mes,Argentina,Neymar Jr.,Sí,Compañeros de trabajo,65,65,65,65
66,Q51 - Q100,1,1,Moderado,1 a 2 veces por semana,Estados Unidos,Julián Álvarez; Cristiano Ronaldo,Sí,Compañeros de trabajo,66,66,66,66
67,Q25 - Q50,3,1,Moderado,3 a 5 veces por semana,Türkiye,Lionel Messi; Vinícius Júnior,Sí,Familia,67,67,67,67
68,Q25 - Q50,2,0,Moderado,Varias veces al mes,México,Lionel Messi; Kylian Mbappé,Sí,Solo,68,68,68,68
69,Q51 - Q100,1,1,Accesible,1 a 2 veces por semana,España,Neymar Jr.; Lionel Messi,Sí,Otro,69,69,69,69
70,Q51 - Q100,2,1,Moderado,3 a 5 veces por semana,Japón,Kylian Mbappé; Christian Pulisic,Sí,Amigos,70,70,70,70
71,Q25 - Q50,1,1,Accesible,1 a 2 veces por semana,Argentina,Neymar Jr.; Kylian Mbappé,Sí,Amigos,71,71,71,71
72,Menos de Q25,2,1,Accesible,3 a 5 veces por semana,Inglaterra,Lionel Messi; Lamine Yamal; Harry Kane,Sí,Familia,72,72,72,72
73,Q25 - Q50,2,0,Economico,1 a 2 veces por semana,Brasil,Lionel Messi; Ninguno,Sí,Amigos,73,73,73,73
74,Más de Q150,1,1,Accesible,3 a 5 veces por semana,Noruega,Vinícius Júnior,No,Familia,74,74,74,74
75,Menos de Q25,3,0,Moderado,Todos los días,BRASIL,Kylian Mbappé; Cristiano Ronaldo,Sí,Amigos,75,75,75,75
76,Q51 - Q100,1,0,Economico,3 a 5 veces por semana,Alemania,Lionel Messi; Federico Valverde; Vinícius Júnior,Sí,Amigos,76,76,76,76
77,Q25 - Q50,3,1,Premium,Varias veces al mes,Estados Unidos,Cristiano Ronaldo; Neymar Jr.,Sí,Amigos,77,77,77,77
78,Q25 - Q50,2,1,Moderado,1 a 2 veces por semana,Colombia,Jude Bellingham; Lionel Messi; Lamine Yamal,Sí,Amigos,78,78,78,78
79,Q25 - Q50,1,1,Moderado,3 a 5 veces por semana,Brasil,Harry Kane; Cristiano Ronaldo,Sí,Familia,79,79,79,79
80,Menos de Q25,2,0,Moderado,1 a 2 veces por semana,Inglaterra,Kylian Mbappé; Christian Pulisic,Sí,Otro,80,80,80,80
81,Menos de Q25,2,1,Moderado,1 a 2 veces por semana,Alemania,Neymar Jr.; Kylian Mbappé; Vinícius Júnior,Sí,Familia,81,81,81,81
82,Menos de Q25,2,1,Moderado,1 a 2 veces por semana,España,Neymar Jr.,No,Amigos,82,82,82,82
83,Menos de Q25,3,1,Accesible,Varias veces al mes,México,Kylian Mbappé; Jude Bellingham,Sí,Familia,83,83,83,83
84,Q51 - Q100,3,0,Premium,Rara vez,México,Neymar Jr.; Lionel Messi,Sí,Familia,84,84,84,84
85,Q51 - Q100,3,1,Premium,3 a 5 veces por semana,Colombia,Lionel Messi,Sí,Amigos,85,85,85,85
86,Más de Q150,2,1,Accesible,Varias veces al mes,Brasil,Christian Pulisic; Kylian Mbappé,Sí,Compañeros de trabajo,86,86,86,86
87,Q51 - Q100,3,0,Super Premium,1 a 2 veces por semana,Brasil,Neymar Jr.,Sí,Otro,87,87,87,87
88,Más de Q150,2,1,Accesible,1 a 2 veces por semana,Portugal,Cristiano Ronaldo; Lamine Yamal; Neymar Jr.,Sí,Amigos,88,88,88,88
89,Menos de Q25,2,0,Super Premium,3 a 5 veces por semana,Alemania,Lionel Messi; Jude Bellingham; Cristiano Ronaldo,No,Familia,89,89,89,89
90,Q25 - Q50,3,0,Accesible,Todos los días,Colombia,Cristiano Ronaldo,Sí,Familia,90,90,90,90
91,Menos de Q25,2,1,Moderado,3 a 5 veces por semana,Portugal,Lionel Messi,Sí,Familia,91,91,91,91
92,Q101 - Q150,1,0,Premium,3 a 5 veces por semana,Brasil,Harry Kane; Cristiano Ronaldo; Vinícius Júnior,Sí,Familia,92,92,92,92
93,Menos de Q25,3,1,Moderado,3 a 5 veces por semana,Suecia,Cristiano Ronaldo; Vinícius Júnior,No,Familia,93,93,93,93
94,Q25 - Q50,1,0,Premium,Todos los días,Argentina,Cristiano Ronaldo; Neymar Jr.; Lamine Yamal,No,Compañeros de trabajo,94,94,94,94
95,Más de Q150,2,1,Economico,Varias veces al mes,España,Lionel Messi; Alphonso Davies; Neymar Jr.,Sí,Familia,95,95,95,95
96,Menos de Q25,1,1,Economico,Varias veces al mes,España,Vinícius Júnior; Federico Valverde,Sí,Familia,96,96,96,96
97,Q51 - Q100,3,1,Premium,Todos los días,Portugal,Cristiano Ronaldo,Sí,Amigos,97,97,97,97
98,Q51 - Q100,2,1,Moderado,1 a 2 veces por semana,México,Cristiano Ronaldo,Sí,Amigos,98,98,98,98
99,Menos de Q25,1,1,Moderado,3 a 5 veces por semana,Argentina,Lionel Messi,Sí,Compañeros de trabajo,99,99,99,99
100,Menos de Q25,1,1,Moderado,3 a 5 veces por semana,México,Lionel Messi; Neymar Jr.; Cristiano Ronaldo,Sí,Familia,100,100,100,100
101,Q51 - Q100,3,1,Accesible,Varias veces al mes,Colombia,Harry Kane; Lionel Messi,Sí,Amigos,101,101,101,101
102,Q25 - Q50,2,0,Premium,1 a 2 veces por semana,Portugal,Jude Bellingham,Sí,Familia,102,102,102,102
103,Q51 - Q100,1,1,Moderado,Todos los días,Francia,Lamine Yamal; Lionel Messi; Kylian Mbappé,Sí,Amigos,103,103,103,103
104,Más de Q150,1,1,Premium,3 a 5 veces por semana,Panamá,Neymar Jr.; Cristiano Ronaldo; Federico Valverde,No,Familia,104,104,104,104
105,Q51 - Q100,3,0,Accesible,Todos los días,Francia,Lamine Yamal; Vinícius Júnior,Sí,Familia,105,105,105,105
106,Q101 - Q150,1,1,Moderado,3 a 5 veces por semana,Noruega,Lionel Messi; Vinícius Júnior; Harry Kane,Sí,Familia,106,106,106,106
107,Q25 - Q50,1,1,Premium,Todos los días,Estados Unidos,Cristiano Ronaldo; Lamine Yamal,Sí,Amigos,107,107,107,107
108,Q25 - Q50,1,0,Accesible,1 a 2 veces por semana,Argentina,Kylian Mbappé; Lionel Messi,Sí,Familia,108,108,108,108
109,Q101 - Q150,3,0,Accesible,Varias veces al mes,Inglaterra,Julián Álvarez; Alphonso Davies,No,Amigos,109,109,109,109
110,Q51 - Q100,3,1,Moderado,Todos los días,Argentina,Kylian Mbappé; Cristiano Ronaldo,Sí,Familia,110,110,110,110
111,Q101 - Q150,3,0,Economico,Varias veces al mes,Brasil,Vinícius Júnior; Cristiano Ronaldo; Federico Valverde,Sí,Amigos,111,111,111,111
112,Q101 - Q150,1,1,Moderado,Todos los días,Argentina,Jude Bellingham; Cristiano Ronaldo; Lamine Yamal,No,Amigos,112,112,112,112
113,Q51 - Q100,1,1,Premium,Todos los días,ALEMANIA,Kylian Mbappé; Lionel Messi; Vinícius Júnior,Sí,Familia,113,113,113,113
114,Q51 - Q100,3,1,Accesible,3 a 5 veces por semana,España,Lionel Messi; Cristiano Ronaldo,Sí,Familia,114,114,114,114
115,Q25 - Q50,2,0,Super Premium,1 a 2 veces por semana,Estados Unidos,Lamine Yamal,Sí,Solo,115,115,115,115
116,Q25 - Q50,3,0,Accesible,Varias veces al mes,Inglaterra,Lamine Yamal,Sí,Solo,116,116,116,116
117,Q51 - Q100,3,1,Premium,Varias veces al mes,España,Jude Bellingham; Cristiano Ronaldo,Sí,Familia,117,117,117,117
118,Q51 - Q100,1,0,Accesible,3 a 5 veces por semana,México,Neymar Jr.; Lamine Yamal,No,Familia,118,118,118,118
119,Q101 - Q150,2,1,Accesible,Todos los días,México,Lionel Messi,Sí,Familia,119,119,119,119
120,Q51 - Q100,3,1,Economico,Varias veces al mes,Brasil,Cristiano Ronaldo; Kylian Mbappé,Sí,Amigos,120,120,120,120
121,Q25 - Q50,1,1,Super Premium,Todos los días,Inglaterra,Ninguno,Sí,Familia,121,121,121,121
122,Q25 - Q50,2,1,Moderado,Todos los días,España,Neymar Jr.; Kylian Mbappé; Cristiano Ronaldo,Sí,Familia,122,122,122,122
123,Q25 - Q50,2,1,Super Premium,1 a 2 veces por semana,Argentina,Federico Valverde; Harry Kane,Sí,Familia,123,123,123,123
124,Q51 - Q100,3,1,Moderado,Varias veces al mes,México,Jude Bellingham,Sí,Compañeros de trabajo,124,124,124,124
125,Q25 - Q50,1,1,Premium,Varias veces al mes,Brasil,Jude Bellingham,Sí,Familia,125,125,125,125
126,Q51 - Q100,1,1,Accesible,1 a 2 veces por semana,Alemania,Cristiano Ronaldo,Sí,Compañeros de trabajo,126,126,126,126
127,Q51 - Q100,3,0,Moderado,3 a 5 veces por semana,México,Lionel Messi; Kylian Mbappé,Sí,Compañeros de trabajo,127,127,127,127
128,Q25 - Q50,3,1,Super Premium,Varias veces al mes,Estados Unidos,Julián Álvarez; Vinícius Júnior,Sí,Familia,128,128,128,128
129,Q25 - Q50,3,0,Economico,Varias veces al mes,España,Kylian Mbappé; Lionel Messi,Sí,Familia,129,129,129,129
130,Más de Q150,1,1,Accesible,1 a 2 veces por semana,Portugal,Vinícius Júnior; Julián Álvarez,Sí,Amigos,130,130,130,130
131,Q51 - Q100,1,1,Accesible,3 a 5 veces por semana,México,Vinícius Júnior; Ninguno,Sí,Familia,131,131,131,131
132,Menos de Q25,3,1,Premium,Varias veces al mes,Portugal,Kylian Mbappé; Lionel Messi,Sí,Amigos,132,132,132,132
133,Q25 - Q50,3,1,Accesible,3 a 5 veces por semana,Inglaterra,Kylian Mbappé,Sí,Compañeros de trabajo,133,133,133,133
134,Q101 - Q150,2,0,Premium,1 a 2 veces por semana,Brasil,Neymar Jr.; Jude Bellingham; Kylian Mbappé,Sí,Amigos,134,134,134,134
135,Q101 - Q150,2,0,Accesible,1 a 2 veces por semana,Argentina,Lionel Messi; Christian Pulisic,Sí,Familia,135,135,135,135
136,Q25 - Q50,3,1,Premium,1 a 2 veces por semana,México,Lionel Messi; Neymar Jr.,No,Otro,136,136,136,136
137,Q51 - Q100,1,0,Moderado,1 a 2 veces por semana,España,Lamine Yamal; Cristiano Ronaldo,Sí,Amigos,137,137,137,137
138,Q51 - Q100,1,1,Accesible,3 a 5 veces por semana,España,Harry Kane; Lamine Yamal,Sí,Familia,138,138,138,138
139,Q25 - Q50,1,1,Moderado,1 a 2 veces por semana,Argentina,Neymar Jr.; Christian Pulisic,Sí,Amigos,139,139,139,139
140,Q25 - Q50,2,1,Moderado,1 a 2 veces por semana,Portugal,Kylian Mbappé; Cristiano Ronaldo; Lionel Messi,Sí,Otro,140,140,140,140
141,Menos de Q25,2,1,Economico,Todos los días,ESPAÑA,Neymar Jr.; Lamine Yamal; Alphonso Davies,Sí,Familia,141,141,141,141
142,Q25 - Q50,3,1,Moderado,1 a 2 veces por semana,México,Alphonso Davies; Lionel Messi; Lamine Yamal,Sí,Familia,142,142,142,142
143,Q51 - Q100,1,1,Moderado,Rara vez,Alemania,Lionel Messi,Sí,Amigos,143,143,143,143
144,Q25 - Q50,1,1,Moderado,1 a 2 veces por semana,Inglaterra,Lionel Messi,Sí,Amigos,144,144,144,144
145,Q25 - Q50,1,1,Premium,1 a 2 veces por semana,España,Lionel Messi; Cristiano Ronaldo; Vinícius Júnior,Sí,Amigos,145,145,145,145
146,Q101 - Q150,2,1,Accesible,1 a 2 veces por semana,Estados Unidos,Lionel Messi; Cristiano Ronaldo,Sí,Familia,146,146,146,146
147,Q25 - Q50,1,1,Moderado,Todos los días,Brasil,Kylian Mbappé,Sí,Amigos,147,147,147,147
148,Q51 - Q100,3,0,Moderado,Varias veces al mes,Brasil,Lionel Messi; Christian Pulisic; Vinícius Júnior,Sí,Amigos,148,148,148,148
149,Q101 - Q150,2,0,Moderado,1 a 2 veces por semana,Brasil,Christian Pulisic,No,Familia,149,149,149,149
150,Q51 - Q100,1,0,Accesible,3 a 5 veces por semana,Portugal,Kylian Mbappé; Julián Álvarez,Sí,Solo,150,150,150,150
151,Q51 - Q100,2,0,Moderado,Varias veces al mes,Argentina,Lamine Yamal; Neymar Jr.,Sí,Solo,151,151,151,151
152,Más de Q150,3,0,Accesible,Rara vez,Inglaterra,Lionel Messi,Sí,Amigos,152,152,152,152
153,Q51 - Q100,1,0,Moderado,1 a 2 veces por semana,Uruguay,Vinícius Júnior; Cristiano Ronaldo,No,Familia,153,153,153,153
154,Q51 - Q100,2,1,Accesible,Todos los días,Portugal,Cristiano Ronaldo,Sí,Compañeros de trabajo,154,154,154,154
155,Q25 - Q50,2,1,Moderado,3 a 5 veces por semana,Francia,Cristiano Ronaldo; Ninguno; Federico Valverde,Sí,Amigos,155,155,155,155
156,Q25 - Q50,3,0,Moderado,Varias veces al mes,México,Cristiano Ronaldo,Sí,Amigos,156,156,156,156
157,Q51 - Q100,1,0,Accesible,1 a 2 veces por semana,Argentina,Neymar Jr.; Vinícius Júnior,Sí,Solo,157,157,157,157
158,Q25 - Q50,2,0,Economico,3 a 5 veces por semana,Francia,Lionel Messi,Sí,Familia,158,158,158,158
159,Q51 - Q100,1,1,Moderado,1 a 2 veces por semana,MÉXICO,Kylian Mbappé; Vinícius Júnior,Sí,Otro,159,159,159,159
160,Q25 - Q50,2,0,Moderado,Rara vez,Estados Unidos,Christian Pulisic; Cristiano Ronaldo,Sí,Familia,160,160,160,160
161,Q101 - Q150,1,1,Premium,Varias veces al mes,Inglaterra,Cristiano Ronaldo; Jude Bellingham,Sí,Familia,161,161,161,161
162,Q51 - Q100,1,0,Economico,3 a 5 veces por semana,PORTUGAL,Kylian Mbappé; Lamine Yamal,Sí,Familia,162,162,162,162
163,Q51 - Q100,3,1,Accesible,1 a 2 veces por semana,Argentina,Lionel Messi; Lamine Yamal; Kylian Mbappé,Sí,Amigos,163,163,163,163
164,Más de Q150,3,1,Moderado,3 a 5 veces por semana,MÉXICO,Lionel Messi; Vinícius Júnior; Federico Valverde,Sí,Familia,164,164,164,164
165,Q25 - Q50,2,1,Moderado,1 a 2 veces por semana,Uruguay,Christian Pulisic; Neymar Jr.,Sí,Familia,165,165,165,165
166,Menos de Q25,3,1,Accesible,Todos los días,Argentina,Lionel Messi; Kylian Mbappé,Sí,Familia,166,166,166,166
167,Q25 - Q50,3,1,Moderado,1 a 2 veces por semana,Estados Unidos,Cristiano Ronaldo; Lionel Messi; Kylian Mbappé,Sí,Compañeros de trabajo,167,167,167,167
168,Q101 - Q150,3,1,Accesible,3 a 5 veces por semana,Argentina,Jude Bellingham; Rodri,Sí,Amigos,168,168,168,168
169,Menos de Q25,2,1,Moderado,Varias veces al mes,Brasil,Christian Pulisic; Cristiano Ronaldo; Lionel Messi,Sí,Solo,169,169,169,169
170,Q25 - Q50,1,1,Moderado,3 a 5 veces por semana,Brasil,Jude Bellingham,Sí,Amigos,170,170,170,170
171,Q25 - Q50,2,1,Accesible,1 a 2 veces por semana,Paraguay,Rodri,Sí,Amigos,171,171,171,171
172,Q101 - Q150,1,0,Super Premium,1 a 2 veces por semana,Brasil,Kylian Mbappé,Sí,Amigos,172,172,172,172
173,Más de Q150,3,1,Premium,Varias veces al mes,Alemania,Neymar Jr.; Lionel Messi; Christian Pulisic,Sí,Familia,173,173,173,173
174,Menos de Q25,1,0,Moderado,Todos los días,Francia,Vinícius Júnior; Lionel Messi; Cristiano Ronaldo,Sí,Familia,174,174,174,174
175,Q51 - Q100,1,1,Moderado,Rara vez,España,Ninguno,Sí,Compañeros de trabajo,175,175,175,175
176,Q51 - Q100,1,1,Accesible,1 a 2 veces por semana,Argentina,Jude Bellingham,Sí,Compañeros de trabajo,176,176,176,176
177,Q51 - Q100,3,1,Premium,Varias veces al mes,Egipto,Lionel Messi,No,Familia,177,177,177,177
178,Q25 - Q50,1,1,Accesible,Varias veces al mes,España,Jude Bellingham; Cristiano Ronaldo; Kylian Mbappé,Sí,Amigos,178,178,178,178
179,Q101 - Q150,1,1,Super Premium,Varias veces al mes,Alemania,Vinícius Júnior; Neymar Jr.; Kylian Mbappé,Sí,Amigos,179,179,179,179
180,Menos de Q25,2,1,Premium,3 a 5 veces por semana,Alemania,Jude Bellingham; Neymar Jr.; Julián Álvarez,No,Amigos,180,180,180,180
181,Q101 - Q150,3,0,Premium,3 a 5 veces por semana,Brasil,Jude Bellingham; Alphonso Davies; Kylian Mbappé,Sí,Otro,181,181,181,181
182,Q51 - Q100,2,0,Accesible,3 a 5 veces por semana,Brasil,Kylian Mbappé; Harry Kane,Sí,Amigos,182,182,182,182
183,Q25 - Q50,1,0,Accesible,1 a 2 veces por semana,Francia,Lionel Messi,Sí,Familia,183,183,183,183
184,Q101 - Q150,3,1,Accesible,1 a 2 veces por semana,Argentina,Cristiano Ronaldo; Federico Valverde; Vinícius Júnior,Sí,Amigos,184,184,184,184
185,Q25 - Q50,1,1,Moderado,3 a 5 veces por semana,Brasil,Lionel Messi; Harry Kane; Neymar Jr.,Sí,Amigos,185,185,185,185
186,Q25 - Q50,3,1,Moderado,3 a 5 veces por semana,Argentina,Neymar Jr.; Jude Bellingham; Lionel Messi,Sí,Familia,186,186,186,186
187,Menos de Q25,2,0,Moderado,1 a 2 veces por semana,Uruguay,Vinícius Júnior; Neymar Jr.,Sí,Familia,187,187,187,187
188,Más de Q150,3,0,Premium,Varias veces al mes,Corea del Sur,Lionel Messi,No,Otro,188,188,188,188
189,Q25 - Q50,1,1,Economico,Rara vez,México,Cristiano Ronaldo,Sí,Amigos,189,189,189,189
190,Q25 - Q50,3,0,Accesible,Rara vez,Túnez,Kylian Mbappé; Lionel Messi,Sí,Amigos,190,190,190,190
191,Q25 - Q50,1,1,Accesible,Todos los días,Argentina,Vinícius Júnior,Sí,Familia,191,191,191,191
192,Q25 - Q50,2,1,Premium,1 a 2 veces por semana,Argentina,Lamine Yamal,Sí,Compañeros de trabajo,192,192,192,192
193,Q51 - Q100,3,1,Moderado,1 a 2 veces por semana,Argentina,Harry Kane; Vinícius Júnior; Cristiano Ronaldo,No,Familia,193,193,193,193
194,Q51 - Q100,3,0,Premium,1 a 2 veces por semana,Argentina,Lamine Yamal; Federico Valverde,Sí,Familia,194,194,194,194
195,Menos de Q25,1,1,Accesible,Todos los días,Francia,Jude Bellingham,Sí,Familia,195,195,195,195
196,Q25 - Q50,2,0,Accesible,Todos los días,Inglaterra,Federico Valverde,Sí,Familia,196,196,196,196
197,Q25 - Q50,1,1,Economico,Todos los días,Cabo Verde,Cristiano Ronaldo,Sí,Amigos,197,197,197,197
198,Más de Q150,1,1,Economico,Todos los días,Argentina,Neymar Jr.,Sí,Familia,198,198,198,198
