id_ubicacion,Departamento,Municipio
415,Sacatepéquez,Antigua Guatemala
416,Quetzaltenango,Quetzaltenango
417,Jalapa,Jalapa
418,Guate,Guatemala
420,Quetzaltenango,Quetzaltenango
421,Guatemala,San Miguel Petapa
422,Guatemala,Guatemala
423,Guatemala,Santa Catarina Pinula
424,Sololá,Sololá
425,Chimaltenango,Chimaltenango
426,Huehuetenango,Cabecera municipal
427,Guatemala,Mixco
428,Guatemala,Mixco
429,Chimaltenango,Chimaltenango
430,Guatemala,Mixco
431,Guatemala,Villa Nueva
432,Jalapa,Cabecera municipal
433,Escuintla,Santa Lucía Cotzumalguapa
434,Chimaltenango,Patzún
435,Guatemala,Mixco
436,Quetzaltenango,Olintepeque
437,Baja Verapaz,Cabecera municipal
438,Guatemala,San Miguel Petapa
439,Escuintla,Santa Lucía Cotzumalguapa
440,Guatemala,San Miguel Petapa
441,Baja Verapaz,Otro municipio
442,Guatemala,San Miguel Petapa
443,Jalapa,Otro municipio
444,San Marcos,San Marcos
445,Escuintla,Palín
446,Escuintla,Palín
447,Guatemala,Santa Catarina Pinula
448,Escuintla,Escuintla
449,Alta Verapaz,Cabecera municipal
1193,Sacatepéquez,Sumpango
451,Guatemala,Guatemala
452,Suchitepéquez,Otro municipio
453,QUICHÉ,Cabecera municipal
454,Petén,San Benito
455,Guatemala,Mixco
456,Guatemala,Santa Catarina Pinula
457,Guatemala,GUATEMALA
458,Guatemala,Santa Catarina Pinula
459,Quetzaltenango,QUETZALTENANGO
460,Quiché,Cabecera municipal
461,Retalhuleu,Otro municipio
462,Sacatepéquez,Jocotenango
463,Guatemala,San Miguel Petapa
1049,SACATEPÉQUEZ,Antigua Guatemala
465,Jutiapa,Otro municipio
466,Escuintla,Palín
467,Guatemala,Santa Catarina Pinula
468,Quetzaltenango,Coatepeque
469,Chimaltenango,Tecpán Guatemala
470,CHIMALTENANGO,Chimaltenango
471,Guatemala,Mixco
472,Guatemala,Mixco
473,Zacapa,Otro municipio
2439,Guatemala,Mixco
475,Quetzaltenango,Coatepeque
476,Guatemala,Santa Catarina Pinula
477,Guatemala,Guatemala
478,Guatemala,Santa Catarina Pinula
479,Totonicapán,Cabecera municipal
480,Santa Rosa,Santa Rosa
481,Guatemala,Santa Catarina Pinula
482,Guatemala,Santa Catarina Pinula
483,Izabal,Izabal
484,El Progreso,Otro municipio
485,GUATEMALA,Mixco
486,Guatemala,Guatemala
487,Jalapa,Jalapa
488,Guatemala,San Miguel Petapa
489,Jalapa,Cabecera municipal
490,Chimaltenango,Patzún
491,Guatemala,Villa Nueva
492,Guatemala,Guatemala
493,Chimaltenango,Patzún
494,Guatemala,San Miguel Petapa
495,Huehuetenango,Cabecera municipal
496,Chimaltenango,Chimaltenango
497,Chimaltenango,Tecpán Guatemala
498,Escuintla,Palín
499,El Progreso,El Progreso
500,San Marcos,San Marcos
501,CHIMALTENANGO,Patzún
502,Suchitepéquez,Otro municipio
503,Quetzaltenango,Coatepeque
504,Quetzaltenango,Quetzaltenango
505,Guatemala,Santa Catarina Pinula
506,Guatemala,Guatemala
507,Petén,San Benito
508,Guatemala,Mixco
509,Guatemala,Guatemala
510,Guatemala,Villa Nueva
511,Guatemala,Guatemala
512,Suchitepéquez,No especificado
513,Sacatepéquez,Antigua Guatemala
514,Guatemala,Mixco
515,Guatemala,Mixco
516,Sacatepéquez,Sumpango
517,Chimaltenango,Tecpán Guatemala
518,Sacatepéquez,Sumpango
519,Escuintla,Palín
520,Guatemala,San Miguel Petapa
521,Sacatepéquez,Jocotenango
522,Zacapa,Cabecera municipal
523,Quetzaltenango,Coatepeque
524,Guatemala,Villa Nueva
525,Guatemala,Mixco
526,Guatemala,Santa Catarina Pinula
527,Jutiapa,Jutiapa
528,Sololá,Otro municipio
529,Guatemala,Villa Nueva
530,Retalhuleu,CABECERA MUNICIPAL
531,Jalapa,Otro municipio
532,Guatemala,San Miguel Petapa
533,Guatemala,Villa Nueva
534,Guatemala,San Miguel Petapa
535,Sacatepéquez,Antigua Guatemala
536,Chimaltenango,Chimaltenango
537,Escuintla,Santa Lucía Cotzumalguapa
538,Guatemala,San Miguel Petapa
539,Guatemala,VILLA NUEVA
540,San Marcos,Cabecera municipal
541,Guatemala,San Miguel Petapa
542,Guatemala,San Miguel Petapa
543,Guatemala,San Miguel Petapa
544,Quetzaltenango,No especificado
545,Quetzaltenango,Quetzaltenango
546,GUATEMALA,Villa Nueva
547,Guatemala,Santa Catarina Pinula
548,Sacatepéquez,Jocotenango
549,Guatemala,Santa Catarina Pinula
550,Guatemala,San Miguel Petapa
551,Izabal,Izabal
552,Quetzaltenango,Coatepeque
553,El Progreso,Cabecera municipal
554,Guatemala,San Miguel Petapa
555,Baja Verapaz,Baja Verapaz
556,Suchitepéquez,Suchitepéquez
557,Sacatepéquez,Antigua Guatemala
558,Jutiapa,Otro municipio
559,Escuintla,Palín
560,Guatemala,Villa Nueva
561,Guatemala,Guatemala
562,Sacatepéquez,Ciudad Vieja
563,Quetzaltenango,Olintepeque
564,Chimaltenango,Chimaltenango
565,Guatemala,Villa Nueva
566,Huehuetenango,Otro municipio
567,Guatemala,San Miguel Petapa
568,Guatemala,VILLA NUEVA
569,Guatemala,Villa Nueva
570,Guatemala,San Miguel Petapa
571,Guatemala,San Miguel Petapa
572,Chimaltenango,Tecpán Guatemala
573,Escuintla,Palín
574,Guatemala,Mixco
575,Izabal,Otro municipio
576,El Progreso,Cabecera municipal
577,Guatemala,Mixco
578,Jalapa,Cabecera municipal
579,Guatemala,Guatemala
580,Guatemala,San Miguel Petapa
581,Guatemala,No especificado
582,Suchitepéquez,Suchitepéquez
583,Guatemala,Mixco
584,Chimaltenango,Patzún
585,Sacatepéquez,Jocotenango
586,Jutiapa,Jutiapa
587,Zacapa,Cabecera municipal
588,Escuintla,Escuintla
589,Huehuetenango,Huehuetenango
590,Quetzaltenango,Coatepeque
591,Guatemala,Santa Catarina Pinula
592,Quetzaltenango,Olintepeque
593,Guatemala,Mixco
594,Guatemala,Mixco
595,Guatemala,San Miguel Petapa
596,QUETZALTENANGO,Coatepeque
597,Chimaltenango,Chimaltenango
598,Sacatepéquez,Antigua Guatemala
599,Guatemala,Villa Nueva
600,Guatemala,Santa Catarina Pinula
601,Suchitepéquez,Otro municipio
602,Chimaltenango,Tecpán Guatemala
603,Guatemala,San Miguel Petapa
604,Chimaltenango,Patzún
605,Chimaltenango,Tecpán Guatemala
606,Quetzaltenango,Coatepeque
607,Huehuetenango,Huehuetenango
608,Guatemala,Mixco
609,Quetzaltenango,Olintepeque
1416,Huehuetenango,Otro municipio
611,Jalapa,Otro municipio
612,Guatemala,Villa Nueva
613,Escuintla,Palín
614,Guatemala,SANTA CATARINA PINULA
615,Guatemala,Villa Nueva
1472,Chimaltenango,Chimaltenango
617,Jutiapa,Otro municipio
618,Sololá,Sololá
619,Sacatepéquez,Jocotenango
620,San Marcos,Cabecera municipal
621,Escuintla,Escuintla
622,GUATEMALA,Villa Nueva
623,Guatemala,Villa Nueva
624,Petén,Poptún
625,Izabal,Otro municipio
626,Guatemala,Mixco
627,Guatemala,Mixco
628,Guatemala,Mixco
629,Izabal,Cabecera municipal
630,Baja Verapaz,Baja Verapaz
631,Guatemala,Guatemala
632,GUATEMALA,Mixco
633,Sacatepéquez,Jocotenango
634,Chimaltenango,Chimaltenango
635,Guatemala,Villa Nueva
636,Jutiapa,Jutiapa
637,Escuintla,Santa Lucía Cotzumalguapa
638,Sacatepéquez,Antigua Guatemala
639,Guatemala,Villa Nueva
640,El Progreso,Otro municipio
641,Jutiapa,Cabecera municipal
642,San Marcos,San Marcos
643,Baja Verapaz,Cabecera municipal
644,Guatemala,Mixco
645,Quetzaltenango,Olintepeque
646,Quetzaltenango,Coatepeque
647,Escuintla,Escuintla
648,Guatemala,Santa Catarina Pinula
649,Guatemala,Villa Nueva
650,Suchitepéquez,Otro municipio
651,Guatemala,Villa Nueva
652,Chimaltenango,Tecpán Guatemala
653,Alta Verapaz,Otro municipio
654,Chimaltenango,Tecpán Guatemala
655,Guatemala,No especificado
656,Xela,Olintepeque
657,Guatemala,Santa Catarina Pinula
658,Chimaltenango,Tecpán Guatemala
659,Quiché,No especificado
660,Guatemala,Guatemala
661,Zacapa,Cabecera municipal
662,Guatemala,San Miguel Petapa
663,Chimaltenango,Chimaltenango
664,Sacatepéquez,Antigua Guatemala
665,Chimaltenango,Tecpán Guatemala
666,Guatemala,Mixco
667,Chimaltenango,PATZÚN
668,Baja Verapaz,Baja Verapaz
669,Guatemala,San Miguel Petapa
670,Guatemala,Guatemala
671,CHIMALTENANGO,Patzún
672,Alta Verapaz,Alta Verapaz
673,Guatemala,Santa Catarina Pinula
674,El Progreso,El Progreso
675,Escuintla,Palín
676,Retalhuleu,Retalhuleu
677,Suchitepéquez,Cabecera municipal
678,Guatemala,Santa Catarina Pinula
679,Sacatepéquez,Ciudad Vieja
680,Escuintla,Palín
681,Retalhuleu,Retalhuleu
682,Guatemala,Santa Catarina Pinula
683,Sololá,Cabecera municipal
684,Suchitepéquez,Otro municipio
685,Jutiapa,Otro municipio
686,Escuintla,Santa Lucía Cotzumalguapa
687,Sacatepéquez,Jocotenango
688,Guatemala,San Miguel Petapa
689,Suchitepéquez,Cabecera municipal
1961,Guatemala,Guatemala
691,Huehuetenango,No especificado
692,Sololá,Sololá
693,Guatemala,Villa Nueva
694,Guatemala,Villa Nueva
695,El Progreso,Cabecera municipal
696,Guatemala,Mixco
697,Santa Rosa,Cabecera municipal
698,Chimaltenango,Patzún
699,Alta Verapaz,Cabecera municipal
700,Guatemala,Guatemala
701,Totonicapán,Otro municipio
702,Guatemala,Mixco
703,Guatemala,San Miguel Petapa
704,Guatemala,Guatemala
705,Sacatepéquez,Ciudad Vieja
706,Guatemala,Guatemala
707,Guatemala,Guatemala
708,Guatemala,nan
709,El Progreso,Cabecera municipal
710,Chimaltenango,Chimaltenango
711,Sacatepéquez,Antigua Guatemala
712,Sacatepéquez,Antigua Guatemala
713,Guatemala,San Miguel Petapa
714,Guatemala,Villa Nueva
715,Escuintla,Palín
716,Escuintla,Escuintla
717,PETÉN,San Benito
718,Guatemala,San Miguel Petapa
719,Guatemala,No especificado
720,Jalapa,Cabecera municipal
721,Escuintla,Santa Lucía Cotzumalguapa
722,Guatemala,Santa Catarina Pinula
723,Sacatepéquez,Sumpango
724,Guatemala,Villa Nueva
725,Guatemala,Villa Nueva
726,HUEHUETENANGO,Otro municipio
727,Guatemala,Guatemala
728,Guatemala,San Miguel Petapa
729,Quetzaltenango,Coatepeque
730,Totonicapán,Cabecera municipal
731,Sacatepéquez,Sumpango
732,Quetzaltenango,Coatepeque
733,Guatemala,Santa Catarina Pinula
734,Guatemala,San Miguel Petapa
735,Sacatepéquez,Sumpango
736,Guatemala,San Miguel Petapa
737,San Marcos,Cabecera municipal
738,Chimaltenango,Patzún
739,Sacatepéquez,Jocotenango
740,Quetzaltenango,Coatepeque
741,Sacatepéquez,Sumpango
742,ESCUINTLA,PALÍN
743,Guatemala,Guatemala
744,Guatemala,Villa Nueva
745,Xela,Coatepeque
746,Guatemala,Villa Nueva
747,El Progreso,Otro municipio
748,Quetzaltenango,Olintepeque
749,Suchitepéquez,Suchitepéquez
750,Sacatepéquez,Ciudad Vieja
751,Santa Rosa,Santa Rosa
752,Chimaltenango,Chimaltenango
753,Escuintla,Escuintla
754,Guatemala,Villa Nueva
755,Guatemala,Mixco
756,Suchitepéquez,Cabecera municipal
757,Chimaltenango,Patzún
758,Guatemala,Guatemala
759,Escuintla,SANTA LUCÍA COTZUMALGUAPA
760,Guatemala,Mixco
761,Huehuetenango,Otro municipio
762,Guatemala,Guatemala
763,Guatemala,GUATEMALA
764,Quetzaltenango,Coatepeque
765,Guatemala,San Miguel Petapa
766,Alta Verapaz,CABECERA MUNICIPAL
767,Jalapa,No especificado
768,Chimaltenango,Patzún
769,Guatemala,San Miguel Petapa
770,Sacatepéquez,Ciudad Vieja
771,Guatemala,San Miguel Petapa
772,Guatemala,San Miguel Petapa
773,Jutiapa,Cabecera municipal
774,Guatemala,Santa Catarina Pinula
775,Baja Verapaz,Otro municipio
776,Jutiapa,Otro municipio
777,Guatemala,San Miguel Petapa
778,Guatemala,Guatemala
779,Quetzaltenango,Olintepeque
780,Guatemala,Guatemala
781,Guatemala,San Miguel Petapa
782,Retalhuleu,Otro municipio
783,Guatemala,Guatemala
784,Izabal,Izabal
785,Sacatepéquez,Sumpango
786,Baja Verapaz,Baja Verapaz
787,Sacatepéquez,Ciudad Vieja
788,Guatemala,Santa Catarina Pinula
789,Sacatepéquez,Ciudad Vieja
790,Santa Rosa,Santa Rosa
791,Guatemala,Mixco
792,Chimaltenango,Patzún
793,Sacatepéquez,Sumpango
794,Guatemala,Santa Catarina Pinula
795,CHIMALTENANGO,Patzún
796,Quetzaltenango,Quetzaltenango
797,Quiché,Cabecera municipal
798,GUATEMALA,Santa Catarina Pinula
799,Guatemala,Mixco
800,Guatemala,Guatemala
801,Sacatepéquez,Ciudad Vieja
802,Sacatepéquez,Sumpango
803,Escuintla,Santa Lucía Cotzumalguapa
804,Quetzaltenango,Coatepeque
805,Escuintla,Palín
806,Huehuetenango,Cabecera municipal
807,Sacatepéquez,Ciudad Vieja
808,Baja Verapaz,Otro municipio
809,Guatemala,San Miguel Petapa
810,Quetzaltenango,Coatepeque
811,Sacatepéquez,Sumpango
812,Guatemala,San Miguel Petapa
813,Suchitepéquez,Cabecera municipal
814,Huehuetenango,Huehuetenango
815,Escuintla,Santa Lucía Cotzumalguapa
816,Guatemala,Santa Catarina Pinula
817,El Progreso,Cabecera municipal
818,Guatemala,San Miguel Petapa
819,Sacatepéquez,CIUDAD VIEJA
820,Baja Verapaz,Baja Verapaz
821,Chimaltenango,Chimaltenango
822,Chimaltenango,Patzún
